Title,FullText,Author,Url,Date
[PENIPUAN] Tautan Lowongan Kerja PT Hwa Seung Indonesia (HWI),"Akun TikTok “id.loker” pada Minggu (13/04/2025) mengunggahvideo[arsip] berisi informasi lowongan kerja di PT Hwa Seung Indonesia (HWI) sebagai berikut: “DIBUTUHKAN TENAGA KERJA 200 ORANG TERCEPATLOWONGAN KERJA PT HWIdari jam 7 pagi-jam 4 soregaji 4,5 sampai 9,5 jutalembur 70.000 per jamlaki-laki/perempuantidak ada batas usiapengalaman dan ijazah tidak di utamakandisediakan mess dan WIFI gratis bagi yang ingin nginapJika berminat, silahkan klik link di Bio” Hingga Kamis (29/05/2025), unggahan telah disukai lebih dari 300-an akun, dibagikan ulang 51 kali, serta menuai 106 komentar. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) memasukkan kata kunci “loker PT HWI Jepara” ke mesin pencarian Google. Penelusuran teratas mengarah ke laman resmi perusahaan, yaknihrd-hwi.hsinni.com. TurnBackHoax kemudian menelusuri bagian “career” dan menemukan informasi mengenai lowongan kerja beberapa posisi di PT HWI. Terdapat kriteria tertentu untuk masing-masing posisi, seperti harus merupakan lulusan jurusan tertentu, memiliki pengalaman, dan lain-lain. Pendaftaran dilakukan dengan mengisi formulir dalam laman, bukan melalui tautan dari laman lain. Dari penelusuran TurnBackHoax, tautan yang tersemat di bio akun TikTok “id.loker” mengarahkan warganet untuk membuka laman domain vercel.app. Laman itu meminta warganet mengisi sejumlah data pribadi berupa: Kesimpulan Unggahan berisi tautan “lowongan kerja PT HWI” yang mengarah ke laman tak resmi itu merupakan konten palsu (fabricated content). (Ditulis oleh Vinanda Febriani)",Relawan Mafindo,https://turnbackhoax.id/2025/05/29/penipuan-tautan-lowongan-kerja-pt-hwa-seung-indonesia-hwi/,"May 29, 2025"
[PENIPUAN] Ada Bantuan Tunai dari Kerajaan Brunei,"Akun Facebook “Bantuan Brunei” pada Selasa (20/5/2025) membagikanvideo[arsip] berisi narasi: “JIKA FOTO INI MASUK KE BERANDA KALIAN, SELAMAT ANDA DAPAT TRANSFERAN 150JT DARI SULTAN Bantuan dana Kerajaan Brunei silakan daftar serakang WhatsApp+6285166526212 TANPA SYARAT APAPUN” Per Rabu (28/5/2025), konten tersebut telah ditonton lebih dari 12 ribu kali dan mendapat 348 emoji reaksi serta 259 komentar. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) memeriksa nomor WA yang tertera dalam unggahan akun Facebook “Bantuan Brunei” melalui Getcontact. Hasilnya, tidak ada keterangan yang berhubungan dengan Kerajaan Brunei Darussalam. Selain itu, kode telepon nasional Brunei adalah +673, bukan +62 yang merupakan kode telepon Indonesia. TurnBackHoax lalu memasukkan kata kunci “donation (donasi)” ke mesin pencarian di laman resmi Pemerintah Bruneiwww.gov.bn. Hasilnya, tidak ditemukan informasi mengenai Kerajaan Brunei yang berbagi uang tunai melalui Facebook. Dalam laman resmi tersebut juga tertera beberapa sosial media milik Kerajaan Brunei, antara lain: Kesimpulan Unggahan berisi narasi “ada bantuan tunai dari Kerajaan Brunei” merupakan konten tiruan (impostor content). (Ditulis oleh ‘Ainayya)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/05/28/penipuan-ada-bantuan-tunai-dari-kerajaan-brunei/,"May 28, 2025"
[SALAH] Pesan Berantai “Buah Daun Kelor dan Soda untuk Obat Sakit Sendi”,"Pada Jumat (23/5/2025) beredar pesan berantai (broadcast) di WhatsApp (arsip cadangan) yang menyebarkan video dengan narasi: “Inilah gebrak’an baru dunia kedokteran dengan herbal asli Indonesia, semoga bermanfaat 👍🙏🙏” Pemeriksaan Fakta Tim Pemeriksa Fakta MAFINDO (TurnBackHoax) menelusuri kebenaran klaim menggunakan perkakas(tool)InVID WeVerify yang memfragmentasi video ke dalam bentuk gambar/foto untuk mencari bingkai utama (Keyframe), yang kemudian digunakan untuk melakukan pencarian gambar (image search). Karena hasil pencarian gambar menggunakan Google Lens tidak menemukan kecocokan, menghubungi Produser Lapangan CNN Indonesia Clarissa Aradhia melalui surel (email) didapatkan informasi bahwa video di segmen/bagian yang menampilkan Clarissa berasal dari video liputan korban kecelakaan Tol Ciawi pada bulan Februari lalu yang salah satunya ditayangkan di kanal YouTube CNN Indonesia. Untuk segmen Siti Fadilah Supari, gambar/foto di Keyframe #24 memberikan petunjuk yang setelah ditelusuri cocok dengan video “Jangan Berdagang Dengan Rakyat” yang diunggah pada Sabtu (18/1/2025) di kanal YouTube Siti Fadilah Supari Channel. Kesimpulan Unggahan tersebut masuk ke kategori konten yang dimanipulasi (manipulated content), faktanya video yang disebarkan adalah hasil manipulasi menggunakan Kecerdasan Buatan (AI: Artificial Intelligence) atauDeepfake.",Aribowo Sasmito,https://turnbackhoax.id/2025/05/28/salah-pesan-berantai-buah-daun-kelor-dan-soda-untuk-obat-sakit-sendi/,"May 28, 2025"
[PENIPUAN] Ada Aplikasi Bluetooth Pendeteksi Penerima Vaksin Covid-19,"Akun Facebook “Jefri Papahnya Aqiela” pada Jumat (16/5/2025) membagikanklaim[arsip] berupa informasi tentang adanya aplikasi berbasis bluetooth yang dapat mendeteksi penerima vaksin Covid-19. Berikut narasi lengkapnya: “Silakan klik ini, yang mau aplikasi cek BLE orang yang divaksin dengan lebih akurat yang tertulisnya “vaccinated” : https://bluetooth-smart-discover[dot]id[dot]uptodown.com/…/down… https://com-microchip-bluetoothsmartdiscover[dot]id[dot]aptoide[dot]c… Download dan install di HP anda, aplikasi bisa diaktifkan mode offline pesawat tanpa perlu sinyal HP atau wifi aktif hanya perlu aktifkan bluetooth nya, Silakan bagi yang sudah divaksin covid atau orang yang anda kenal sudah divaksin covid cek dengan aplikasi BLE smartdiscover,” Hingga Selasa (28/5/2025) unggahan telah disukai 65 pengguna dan menuai 17 komentar. Pemeriksaan Fakta Disadur dari artikel Periksa Faktatirto.id. Klaim “orang yang telah divaksin Covid-19 bisa dideteksi dengan aplikasi berbasis bluetooth” sudah dinyatakan tidak benar oleh Kementerian Komunikasi dan Digital (Komdigi). Tubuh yang sudah divaksin tidak mungkin dapat terkoneksi ke bluetooth. Vaksin terdiri dari sejumlah bahan kimia yang tidak bisa mentransmisikan gelombang radio dari jarak pendek. Klaim juga telah disebut sebagai mitos oleh Public Health Communications Collaborative (PHCC). Dalamlaman resminya, PHCC menegaskan vaksin Covid-19 tidak mengandung mikrocip, termasuk hal-hal yang memungkinkan perangkat terhubung ke bluetooth. Sebagai informasi, PHCC dibentuk pada Agustus 2020 oleh CDC Foundation, de Beaumont Foundation, dan Trust for America’s Health, untuk menyediakan komunikasi yang tak bias tentang pandemi Covid-19. Tim Pemeriksa Fakta Mafindo (TurnBackHoax) kemudian memasukkan file aplikasi tersebut ke alat pendeteksi malware atau virus dari IC4.id.Hasilnyadidapati file aplikasi tersebut terdeteksi memiliki virus yang berpotensi mencuri data pribadi. Kesimpulan Unggahan berisi klaim “ada aplikasi berbasis bluetooth untuk mendeteksi penerima vaksin Covid-19” merupakan konten yang menyesatkan (misleading content). (Ditulis oleh Moch. Marcellodiansyah)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/05/28/penipuan-ada-aplikasi-bluetooth-pendeteksi-penerima-vaksin-covid-19/,"May 28, 2025"
[SALAH] Gubernur Jabar Dedi Mulyadi Resmikan Layanan Pinjol,Akun Facebook “Dulurkdm” pada Selasa (13/5/2025) membagikanvideo[arsip] disertai narasi: “KDM Meresmikan Pinjaman Online. Pinjaman online Tanpa bunga 0% Ajukan sekarang 5juta500juta.” Hingga Selasa (28/5/2025) unggahan telah disukai 260 pengguna dan menuai 47 komentar. Pemeriksaan Fakta Disadur dari artikel Cek Faktakompas.com. Video tersebut merupakan cuplikan dari unggahan kanal YouTube “LEMBUR PAKUAN CHANNEL” pada Sabtu (22/3/2025) berjudul “HANYA 20 MENIT KDM PIMPIN RAPAT – TUNTASKAN PROBLEM INVESTASI BYD | REKRUT 18 RIBU KARYAWAN”. Dedi Mulyadi dalam video tersebut membahas berbagai persoalan investasi di Jawa Barat. Tidak ditemukan pembahasan soal pinjol seperti dalam unggahan yang beredar. Kesimpulan Unggahan video berisi klaim “Gubernur Jabar Dedi Mulyadi resmikan layanan pinjol” merupakan konten yang menyesatkan (misleading content). (Ditulis oleh Moch. Marcellodiansyah),Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/05/28/salah-gubernur-jabar-dedi-mulyadi-resmikan-layanan-pinjol/,"May 28, 2025"
[SALAH] Manuver Pesawat India sebelum Jatuh Tertembak oleh Pakistan,"Pada Rabu (7/5/2025) beredarunggahandi X (arsip cadangan) oleh akun @M26165Kalong yang membagikan sebuah video disertai narasi: “Manuver pesawat India sebelum jatuh tertembak oleh Pakistan .” di unggahannya. Per arsip dibuat pada Sabtu (24/5/2025) unggahan tersebut telah dilihat 20.1 ribu kali, mendapatkan 22 jawaban, dibagikan ulang 50 kali, dan disukai oleh 157 pengguna X lainnya. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri kebenaran klaim berdasarkan pola sebaran hoaks yang muncul menunggangi konflik yang terjadi di dunia nyata seperti yang sudah beberapa kali terjadi sebelumnya, kali ini pola yang sama kembali muncul menyebar di berbagai platform media sosial menunggangi konflik Pakistan dengan India yang baru-baru ini terjadi. Pada 3 Januari dan 24 Februari tahun 2022 lalu, penulis sudah memeriksa dan mengunggah hasil pemeriksaan diturnbackhoax.iddi artikel “[SALAH] “pesawat jatuh lagi ketika Tiongkok gagal melancarkan serangan udara di dekat Taiwan”” (hasil terjemahan Google Translate) dan “[SALAH] Video “RUSIA VS ukraina””. Pemeriksaan dilanjutkan di YouTube dan Google Videos menggunakan kata kunci (keyword) “arma 3 air defense”, hasilnya terdapat berbagai unggahan video yang diambil dari permainan ArmA 3. Bohemia Interactive, studio pengembang permainan ArmA 3, pada tahun 2023 lalu pernah mempublikasikan rilis yang memberikan tips membedakan video yang berasal dari dalam permainan (in-game) dengan hasil rekaman dari peristiwa dunia nyata, serta mengimbau para pemain dan pembuat konten ArmA 3 untuk menggunakan rekaman permainan secara bertanggung jawab. Selain itu, menggunakan kata kunci “arma 3 developer fake news” menghasilkan artikel dari sumber-sumber otoritatif yang mengkoroborasi mendukung pernyataan di atas. Artikel dari sumber-sumber yang ditemukan di Google News berisi pernyataan dari Bohemia Interactive yang merasa kecewa karena produknya digunakan di berbagai ketegangan/konflik yang muncul, misalnya di ketegangan/konflik Israel-Palestina dan Ukraina-Rusia. Kesimpulan Unggahan tersebut masuk ke kategori konten yang menyesatkan (misleading content), faktanya video yang dibagikan berasal dari potongan rekaman permainan/gim video ArmA 3.",Aribowo Sasmito,https://turnbackhoax.id/2025/05/27/salah-manuver-pesawat-india-sebelum-jatuh-tertembak-oleh-pakistan/,"May 27, 2025"
[PENIPUAN] Ustaz Abdul Somad Bagi-Bagi Uang untuk TKI,"Akun Facebook “ustadz Abdul somad” pada Sabtu (17/5/2025) mengunggahvideo[arsip], isinya berupa audio dengan narasi: “Assalamualaikum warahmatullahi wabarakatuh. Saya atas nama Ustadz Abdul Somad memberikan bantuan kepada tenaga kerja yang berada di luar negeri sebesar 70 juta beserta fasilitas pulang ke negara kita. Saya memberikan bantuan ini dengan ikhlas kepada tenaga kerja yang berada di luar negeri dikarenakan banyak laporan masyarakat yang ada di luar negeri, banyak ingin kembali tapi tidak mempunyai modal untuk pulang. Maka dari itu saya mengeluarkan bantuan ini agar tenaga kerja yang berada di luar negeri bisa kembali dan berkumpul bersama keluarga dan kerabatnya. Semoga dengan bantuan ini saudara kita yang ada di luar negeri mendapatkan kebahagiaan kembali dan jangan lupa untuk masalah bantuannya silakan dipergunakan secara baik. Baik jika sudah berada di negeri kita tercinta. Jadi sekian, Assalamualaikum warahmatullahi wabarakatuh.” Unggahan disertai takarir: “Bantuan Langsung TKI & TKW Dari Ustadz Abdul Somad Memberikan bantuan langsung kepada TKI dan TKW yang berada di luar negeri” Per Selasa (27/5/2025), konten tersebut sudah ditonton lebih dari 4.700 kali dan mendapatkan 144 tanda suka. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menganalisis konten itu dengan perangkat deteksi AI,ElevenLabs.io. Hasilnya, audio dalam konten merupakan hasil rekayasa kecerdasan buatan (artificial intelligence/AI), probabilitas atau kemungkinannya mencapai 98 persen. TurnBackHoax kemudian menelusuri akun Instagram “ustadzabdulsomad_official” dan kanal YouTube “ustadzabdulsomadofficial” milik Ustaz Abdul Somad. Tidak ditemukan konten dan informasi kredibel mengenai Ustaz Abdul Somad bagi-bagi uang untuk TKI. Kesimpulan Unggahan berupa video berisi klaim “Ustaz Abdul Somad bagi-bagi uang untuk TKI” merupakan konten tiruan (impostor content). (Ditulis oleh ‘Ainayya)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/05/27/penipuan-ustaz-abdul-somad-bagi-bagi-uang-untuk-tki/,"May 27, 2025"
[PENIPUAN] Garuda Indonesia Bagi-Bagi Uang,"Akun Facebook “Aneng Jeane Buyung” pada Rabu (21/5/2025) membagikan sejumlahfoto[arsip] disertai narasi: “Syalomm Tuhan memberkati PT.Garuda indonesia Karena sudah memilih saya jadi pemenang event giveaway doi 20jt.. Saya senang sekali dan ndk nyangka sya ba akal hoax ternyata asli batull dapat.. Deng doi ini m kta bisa pake modal usaha Untuk kta p sdra2 mo ikutan undian nya langsung klik link hubunggi Wa PT.Garuda indonesia ini [https://wa.link/gpbga5] WhatsApp | 0821-6062-3560” Per Selasa (27/5/2025), konten tersebut telah mendapat 32 emoji reaksi serta 22 komentar. Pemeriksaan Fakta Nomor WhatsApp (WA) tersebut berbeda dengan nomor WA resmi perusahaan (0811-2807-807) serta call center Garuda Indonesia (021-23519999 dan 0804-1807-807) yang tertera di laman resmi PT Garuda Indonesia “garuda-indonesia.com/id”. Tim Pemeriksa Fakta Mafindo (TurnBackHoax) kemudian memeriksa nomor WA yang tertera dalam unggahan melalui Getcontact. Hasilnya, tidak ada keterangan yang berhubungan dengan PT Garuda Indonesia. TurnBackHoax lalu memasukkan kata kunci “giveaway PT Garuda Indonesia” ke mesin pencarian Google. Hasil pencarian mengarah ke artikelgaruda-indonesia.com“PENJELASAN GARUDA INDONESIA TERKAIT PENIPUAN SURVEY BERHADIAH” yang dipublikasikan April 2021. Lewat artikel itu perusahaan menegaskan seluruh aktivitas promosi dan survey akan disampaikan melalui laman dan saluran komunikasi resmi PT Garuda Indonesia, antara lain: Kesimpulan Unggahan berisi klaim “Garuda Indonesia bagi-bagi uang” merupakan konten palsu (fabricated content). (Ditulis oleh ‘Ainayya)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/05/27/penipuan-garuda-indonesia-bagi-bagi-uang/,"May 27, 2025"
[SALAH] Ada Bansos untuk Peserta Uji Coba Vaksin TBC Bill Gates,"Akun Facebook “Irvan Budiyanto” pada Rabu (7/5/2025) membagikanfoto[arsip], isinya memperlihatkan tangkapan layar dari unggahan yang tayang Rabu (7/5/2025) berjudul “Bill Gates Akan Uji Coba Vaksin TBC Buatannya di Indonesia”. Pengunggah menambahkan narasi: “Bansos senilai Rp. 150k untuk yang mau ikut vaksin” Per Selasa (27/5/2025), konten tersebut telah mendapatkan 377 respon dan tanda suka, 97 komentar. serta dibagikan ulang 38 kali. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri konteks asli tangkapan layar dalam foto tersebut dengan memasukkan kata kunci “Indonesia tempat uji coba vaksin TBC” ke mesin pencarian Google. Hasil penelusuran mengarah ke pemberitaantempo.co“Bill Gates Akan Uji Coba Vaksin TBC Buatannya di Indonesia” yang tayang Rabu (7/5/2025). Isinya sama sekali tidak membahas pemberian bantuan sosial bagi peserta uji coba vaksin TBC. TurnBackHoax lalu menelusuri klaim pemberian bantuan sosial di laman resmikemensos.go.iddankemkes.go.idmelalui mesin pencarian Google. Tidak ditemukan pernyataan kredibel dari pemerintah mengenai adanya bantuan sosial untuk peserta uji coba vaksin TBC. TurnBackHoax kemudian memasukkan kata kunci “peserta uji coba vaksin TBC” ke mesin pencarian Google. Hasilnya, ditemukan pemberitaanbbc.com“Uji vaksin TBC disponsori Bill Gates – Apakah warga Indonesia jadi ‘kelinci percobaan’?”. Dalam pemberitaan yang tayang Senin (12/5/2025) itu disebutkan bahwa uji klinis tahap ketiga vaksin TBC M72 milik Bill Gates sudah dilaksanakan di Indonesia sejak September 2024, perekrutan peserta berakhir 16 April 2025. Sekitar 2.095 peserta sudah mendapat suntikan vaksin. Kesimpulan Unggahan berisi klaim “ada bansos untuk peserta uji coba vaksin TBC Bill Gates” merupakan konten yang menyesatkan (misleading content). (Ditulis oleh ‘Ainayya)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/05/27/salah-ada-bansos-untuk-peserta-uji-coba-vaksin-tbc-bill-gates/,"May 27, 2025"
[SALAH] Dokumentasi “Penggerebekan Lokasi Penyekapan WNI di Thailand”,"Akun Facebook “Jok Bangka” pada Selasa (13/5/2025) membagikanvideo[arsip] disertai narasi: “Kepolisian Thailand baru-baru ini melakukan Penggerebekan Salah satu tempat di mana banyak warga Indonesia Yg di Sekap sebelum di kirim ke Kamboja,.. Banyak di antara mereka yang di jebak oleh teman sesama WNI untuk bekerja di Thailand tetapi ujung ujungnya malah di kirim ke Kamboja… Pinter2 lh ikak Mileh Bgwe.. Jgn Tegiur Bgwe di Luer..” Per Selasa (27/5/2025), konten tersebut telah mendapat lebih dari 2.300 tanda suka dan 112 komentar. Pemeriksaan Fakta Disadur dari artikel Cek Faktakompas.com Tim Cek Fakta Kompas.com mengambil tangkapan layar video lalu menelusurinya lewat reverse image search. Hasil pencarian di Google mengarah ke video akun Instagramthaich8newsyang diunggah Februari 2025. Dalam unggahan itu terdapat keterangan yang menyebut peristiwa dalam video merupakan dokumentasi penggerebekan kegiatan perjudian di distrik Don Muang, Bangkok, Thailand. Penggerebekan tersebut diberitakan oleh sejumlah media lokal, salah satunyabangkokpost.comberjudul “29 gamblers rounded up in Don Muang raid” yang tayang Jumat (21/2/2025). Sebagai informasi, pada Januari 2025 pernah ada 32 WNI yang ditangkap karena masuk Thailand secara ilegal. Para WNI mengaku keluar dari sebuah perusahaan di Myawaddy, Myanmar yang mempekerjakan mereka sebagai scammer online. Namun, video yang diunggah akun Facebook “Jok Bangka” tidak ada kaitannya dengan peristiwa 32 WNI yang kabur ke Thailand. Kesimpulan Unggahan video disertai klaim “penggerebekan lokasi penyekapan WNI di Thailand” merupakan konten yang menyesatkan (misleading content). (Ditulis oleh ‘Ainayya)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/05/27/salah-dokumentasi-penggerebekan-lokasi-penyekapan-wni-di-thailand/,"May 27, 2025"
