cleaned,label
kemenkes minta publik waspadai peningkatan kasus covid 19 di asia jakarta kompas com kementerian kesehatan kemenkes ri mengeluarkan surat edaran imbauan waspada penyebarancovid 19menyusul peningkatan kasus di sejumlah negara asia seperti thailand hongkong malaysia dan singapura varian covid 19 dominan yang menyebar di thailand adalah xec dan jn 1 di singapura lf 7 dan nb 1 8 turunan jn 1 di hongkong jn 1 dan di malaysia adalah xec turunan j 1 surat edaran ini bertujuan dalam rangka meningkatkan kewaspadaan covid 19 maupun penyakit potensial kejadian luar biasa atau wabah lainnya bunyi surat edaran yang ditandatangani pelaksana tugas plt direktur jenderal penanggulangan penyakit kementerian kesehatan murti utami pada 23 mei 2025 dikutip sabtu 31 5 2025 surat edaran ini juga sebagai peringatan bagi dinas kesehatan upt bidang kekarantinaan kesehatan upt bidang laboratorium kesehatan masyarakat fasilitas pelayanan kesehatan dan para pemangku kepentingan baca juga covid 19 melonjak lagi di thailand ini penyebabnya meski ada peningkatan kasus di negara asia transmisi penularan covid 19 masih relatif rendah dan angka kematiannya juga rendah di indonesia menurut data kemenkes kasus covid 19 di indonesia pada pekan ke 20 saat ini menunjukkan tren penurunan kasus konfirmasi mingguan dari 28 kasus pada minggu ke 19 menjadi 3 kasus pada minggu ke 20 positivity rate 0 59 dengan varian dominan yang beredar adalah mb 1 1 jelasnya dalam edarannya kemenkes menyampaikan arahan antara lain kepada unit pelaksana teknis upt bidang kekarantinaan kesehatan rs puskesmas dan fasilitas pelayanan kesehatan untuk meningkatkan pengawasan dan pemeriksaan kesehatan baca juga kemenkes pastikan varian covid 19 xec di thailand belum merebak di indonesia ini cara mencegahnya berikut daftar arahan kemenkes kepada fasilitas layanan kesehatan 1 memantau perkembangan situasi dan informasi global terkait kejadian covid 19 melalui kanal resmi pemerintah dan who 2 meningkatkan pelaporan ili sari pneumonia covid 19melalui pelaporan rutin sistem kewaspadaan dini dan respons skdr melalui link dan atau surveilans sentinel ili sari 3 jika terjadi peningkatan kasus potensial klb segera melapor dalam waktu kurang dari 24 jam ke dalam laporan surveilans berbasis kejadian event based surveillance ebs di aplikasi sistem kewaspadaan dini dan respons skdr atau public health emergency operation centre pheoc di nomor telp whatsapp 0877 7759 1097 4 melaporkan hasil pemeriksaan spesimen covid 19 melalui aplikasi all record tc 19 5 memperkuat kewaspadaan standar dalam upaya pencegahan dan pengendalian infeksi di fasilitas pelayanan kesehatan baca juga kemenkes pastikan covid 19 varian xec belum merebak di indonesia 6 meningkatkan kemampuan pelayanan rujukan pada rumah sakit jejaring pengampuan pelayanan penyakit infeksi emerging 7 meningkatkan promosi kesehatan kewaspadaan covid 19 di masyarakat 8 memastikan pelaksanaan deteksi dan respons kasus sesuai dengan ketentuan 9 tetap menjaga kesehatan bagi seluruh tenaga medis dan tenaga kesehatan,0
sd smp swasta gratis diusulkan bertahap pemerintah segera koordinasi jakarta kompas com ketuakomisi xdpr hetifah sjaifudian mengusulkan penerapan secara bertahap implementasi putusanmahkamah konstitusi mk nomor 3 puu xxiii 2025 yang memerintahkan negara menggratiskan pendidikan dasar di sekolah negeri dan swasta fase pertama atau untuk jangka pendek pemerintah dapat memulainya dari sd dan smp swasta yang berada di daerah tertinggal terdepan dan terluar 3t mungkin pertama dalam jangka pendek prioritas fase pertama awal fokus kesekolah swastayang berbiaya rendah di daerah daerah tertinggal yang terpencil pedalaman kata hetifah dalam program obrolan news room kompas com jumat 30 5 2025 baca juga sd smp swasta gratis wamendagri sebut perlu penyesuaian fiskal pada fase pertama ini pemerintah dapat menyasar sekolah sekolah swasta yang dikelola organisasi keagamaan sebab banyak dari sekolah sekolah tersebut membutuhkan bantuan dana untuk menjalankan operasionalnya di situ banyak yayasan yayasan seperti tadi muhammadiyah juga yayasan pendidikan kristen di papua atau daerah daerah lainnya yang juga memang membutuhkan sokongan pendanaan kalau ini digratiskan ujar hetifah setelah itu pemerintah dapat melakukan evaluasi terhadap fase pertama tersebut dan melanjutkannya ke fase jangka panjang kemudian fase jangka panjangnya baru perluasan kepada sekolah sekolah lain dengan evaluasi berkala ujar hetifah baca juga tantangan anggaran daerah di balik putusan mk gratiskan sd smp swasta sementara itu menteri koordinator bidang pembangunan manusia dan kebudayaan menko pmk pratikno mengatakan pemerintah menyikapi serius putusan mk nomor 3 puu xxiii 2025 yang menegaskan negara wajib membiayai pendidikan dasar di sekolah negeri dan swasta karenanya koordinasi dengan kementerian pendidikan dasar dan menengah kemendikdasmen akan dilakukan dalam merumuskan implementasi putusan tersebut kita perlu strategi yang presisi dan terukur semangat afirmatif perlu dijabarkan dalam detail kebijakan yang implementatif ujar pratikno dalam keterangan resminya jumat 30 5 2025 baca juga mk putuskan sd smp swasta gratis golkar khawatirkan nu muhammadiyah pratikno memandang putusan mk nomor 3 puu xxiii 2025 merupakan amanat pasal 31 ayat 2 undang undang dasar uud 1945 putusan mk ini menegaskan kembali amanat konstitusi bahwa pendidikan adalah hak setiap warga negara ujar pratikno putusan tersebut juga akan memperluas akses pendidikan dan menghapus hambatan ekonomi khususnya bagi keluarga tidak mampu yang menyekolahkan anaknya di sekolah swasta karena keterbatasan daya tampung sekolah negeri baca juga pendidikan dasar digratiskan guru sekolah swasta harus diperhatikan negara bertanggung jawab untuk memastikan akses pendidikan dasar yang adil dan inklusif untuk seluruh rakyat indonesia ujar pratikno kami akan segera menyelenggarakan koordinasi melibatkan kementerian lembaga terkait untuk memastikan keputusan tersebut dapat diimplementasikan dengan aturan dan kebijakan yang presisi di masyarakat sambungnya,0
eri cahyadi pemilik sejati kota surabaya adalah warganya surabaya kompas com walikota surabayaeri cahyadimengatakan kemajuan sebuah kota ada di tangan warganya namun jika gagal maka itu tanggung jawab pemerintahnya hal tersebut ia sampaikan dalam pidato resepsihari jadi kota surabaya hjks ke 732 di taman surya bali kota surabaya sabtu 31 5 2025 apakah kota ini ingin maju kota ini humanis kota ini ingin menjadi kota besar menjadi baik menjadi lebih baik maka itu ditentukan oleh warga kota surabaya jenenganlah anda lah yang memegang peranan penting mulai dari keluarga sampai dengan kota ini kata eri dalam sambutannya sabtu baca juga anak nakal kembali berulah setelah pulang dari barak eri cahyadi pilih asramakan mereka ia lantas menyebutkan tujuh target capaian kota surabaya yaitu mengurangi kemiskinan kedua mengurangi pengangguran ketiga menurunkan angka kematian bayi ibu dan anak selanjutnya menurunkan stunting kelima meningkatkan pembangunan manusia mengurangi kesenjangan ekonomi dan terakhir meningkatkan pertumbuhan ekonomi apabila ketujuh tujuan tersebut tidak tercapai maka hal tersebut merupakan kegagalan walikota dan jajaran pemerintah kota surabaya kita bekerja terus dengan hati nurani bukan untuk mencari popularitas bukan untuk mencari siapa yang terbaik bukan mencari siapa yang paling berjasa ujarnya lagi baca juga alasan kpai apresiasi cara eri cahyadi tangani anak nakal di surabaya eri mengibaratkan walikota hanyalah sebagai seorang dirigen untuk menyatukan dan mengkolaborasikan seluruh kelebihan yang ada di kota surabaya ia juga menyebut bahwa walikota pada dasarnya hanyalah warga biasa sedangkan walikota sejati adalah warga kota surabaya sementara masyarakat yang memegang peranan penting sebagai penggerak dalam pembangunan kota surabaya saya eri cahyadi hanya menyatukan jenengan karena pemilik sejati kota ini adalah warga kota surabaya yang luar biasa sebutnya pantauankompas comsejak sekitar pukul 07 00 wib ratusan organisasi perangkat daerah opd forum koordinasi pimpinan daerah forkopimda influencer hingga masyarakat umum memadati balai kota surabaya terlihat eri cahyadi bersama istri rini indriyani dan wakil walikota surabaya armuji bersama istri iswahyurini mengenakan kebaya kebaya rancongan khas surabaya baca juga eri cahyadi memanah bawa ayam jago hingga perankan karakter sawunggaling di parade surabaya vaganza 2025 upacara dimulai sekitar pukul 07 30 wib yang diawali dengan pembacaan sejarah kota surabaya oleh ketua dprd kota surabaya adi sutarwijono serta penghormatan kepada panji surabaya lalu ada juga penyerahan piagam penghargaan bagi seluruh forkopimda dan opd berprestasi oleh eri cahyadi dan armuji sekitar pukul 09 00 wib acara puncak dari resepsi hjks dilakukan dengan pemotongan tumpeng yang memang sudah menjadi tradisi tiap tahunnya kemudian acara ditutup dengan gelaran teater musikal dengan tema surabaya city of hero nantinya puncak dari rangkaian ulang tahun surabaya ini akan digelarnya konser hjks 732 di surabaya expo center sekitar pukul 16 00 wib,0
salah jokowi kaget kehilangan ijazah aslinya padahal akan ditunjukkan ke publik pada minggu 13 4 2025 beredarunggahandi x arsip cadangan yang membagikan gambar tangkapan layar artikel oleh gelora news dengan judul joko widodo ijazah saya hilang tadinya saya akan menunjukkan kepada publik ijazah asli saya ini sangat membuat saya kaget disertai narasi jagonya ngedabrus di unggahan per tangkapan layar dibuat pada kamis 1 5 2025 unggahan tersebut telah dilihat 415 kali mendapatkan jawaban 2 kali dibagikan ulang 1 kali dan disukai oleh 2 pengguna x lainnya pemeriksaan fakta tim pemeriksa fakta mafindo turnbackhoax menelusuri kebenaran klaim menggunakan perkakas tools pencarian foto reveye reverse image search dan google lens hasilnya ditemukan foto jokowi yang dibagikan di unggahan tersebut digunakan di berbagai unggahan oleh beberapa akun di media sosial dan di artikel beberapa media salah satunya adalah yang dipublikasikan oleh gelora news di artikel berjudul panik jelang geruduk ugm mulai ada alasan ijazah hilang pembatasan tamu hingga tunjuk lawyer terbitan sabtu 12 4 2025 tanggal ini adalah tanggal yang sesuai dengan foto tangkapan layar artikel hasil manipulasi yang dibagikan oleh akun x lokalpendaki sehari sebelumnya foto yang sama dimuat di metrotvnews com dengan deskripsi presiden ke 7 ri joko widodo metrotvnews com triawati prihatsari di artikel berjudul siapkan langkah hukum jokowi tegaskan ijazahnya keluaran ugm terbitan jumat 11 4 2025 foto ini adalah sumber foto yang dipublikasikan oleh gelora news selain itu menggunakan perkakas pencarian google image dengan kata kunci keyword jokowi ijazah langkah hukum ditemukan artikel artikel yang memuat foto yang berdasarkan sudut pengambilan gambarnya mengkoroborasi mendukung artikel oleh gelora news beberapa diantaranya artikel jokowi kaji langkah hukum soal isu ijazah palsu yang menuduh harus buktikan oleh detiknews terbitan jumat 11 4 2025 artikel siap tempuh langkah hukum soal ijazah palsu jokowi siapa menuduh harus bisa dibuktikan terbitan sabtu 12 4 2025 dan artikel jokowi pertimbangkan langkah hukum soal tudingan ijazah palsu ugm terbitan minggu 13 4 2025 oleh sinpo tv yang menggunakan foto untuk gambar pratinjau thumbnail video kesimpulan unggahan tersebut masuk ke kategori konten yang dimanipulasi manipulated content faktanya judul artikel yang benar adalah panik jelang geruduk ugm mulai ada alasan ijazah hilang pembatasan tamu hingga tunjuk lawyer,1
salah tempo menghapus berita jokowi beredar sebuahcuitan arsip dari akun twitter x blank0429 pada sabtu 5 4 2025 disertai gambar tangkapan layar berita dengan judul jadi capres tak perlu ipk 4 jokowi ipk saya 2 terdapat juga gambar yang diklaim sebagai potongan artikel tempo berikut narasi lengkapnya dua saja tidak ada tempo tempodotco bocoraluspol please jujur kenapa beritanya dihapus hingga rabu 16 4 2025 cuitan tersebut telah ditonton lebih dari 9 ribu tayangan disukai oleh 215 pengguna menuai 28 komentar dan 101 kali dibagikan ulang pemeriksaan fakta disadur dari artikel cek faktatempo co tempo memverifikasi cuitan tersebut menggunakan mesin pencarian google dan mewawancarai pemimpin redaksi tempo setri yasra faktanya artikel tentang jokowi tersebut masih ditemukan di websitetempo co menurut pemimpin redaksi tempo setri yasra tidak ada kebijakan menghapus berita di tempo kecuali itu keputusan dewan pers sesuai pedoman media siber media tidak dibenarkan menghapus berita di website sesuka hati kesimpulan cuitan berisi klaim tempo menghapus berita jokowi merupakan konten yang menyesatkan misleading content ditulis oleh pekik jalu utomo,1
salah pesan berantai perempuan amerika serikat semua tanpa baju protes rencana pemerintah as stop impor baju dari china pada senin 7 4 2025 beredar pesan berantai broadcast di sebuah grup whatsapp arsip cadangan yang membagikan sebuah video dengan narasi pemerintah as rencana stop import baju dari china tidak ada baju murah dari china kami pakai apa perempuan as lepas baju semua tanpa baju protes pemerintah pemeriksaan fakta tim pemeriksa fakta mafindo turnbackhoax menelusuri kebenaran klaim menggunakan perkakas tools pencarian gambar google images hasilnya ditemukan artikel periksa fakta dari mygopen organisasi pemeriksa fakta dari taiwan yang terbit pada tahun 2019 lalu kamis 4 7 2019 yang saat itu mengklarifikasi klaim yang serupa berkaitan dengan kebijakan donald trump faktanya tidak berkaitan dengan rencana menghentikan impor baju dari tiongkok video yang dibagikan adalah dokumentasi yang direkam di acara seni instalasi oleh seniman spencer tunick di museum seni kontemporer cleveland pada tahun 2004 lalu pemeriksaan silang cross check ke situs spencer tunick juga mengkoroborasi atau mendukung hasil pemeriksaan oleh mygopen di salah satu segmen video yang disebarkan memperlihatkan bangunan yang sesuai dengan salah satu foto yang ditampilkan di situs di bagian installations selected works 4 dengan deskripsi ohio 4 1 museum of contemporary art cleveland 2004 pigment print h 48 x w 60 in h 121 92 x w 152 4 cm edition of 6 kesimpulan unggahan tersebut masuk ke kategori konten yang menyesatkan misleading content faktanya video yang dibagikan adalah dokumentasi yang direkam di acara seni instalasi oleh seniman spencer tunick di museum seni kontemporer cleveland pada tahun 2004 lalu,1
penipuan tautan daftar bbm gratis thr dari pertamina dan pemerintah akun tiktok riskacabby12 pada kamis 13 3 2025 membagikanfoto arsip berisi narasi bbm gratis regulasi tunjangan hari raya thr pemerintah menyeluruah regulasi dapatkan segera thr dari pertamina berupa bbm gratis untuk klaim bbm gratis regulasi tunjangan hari raya silahkan klik link di bio hingga minggu 23 3 2025 unggahan tersebut telah disukai oleh 502 pengguna dan menuai 18 komentar pemeriksaan fakta tim pemeriksa fakta mafindo turnbackhoax menelusuri sejumlah kanal untuk mendapatkan informasi kredibel yakni hasilnya tidak ditemukan informasi valid terkait adanya thr berupa bbm dari pertamina maupun dari pemerintah turnbackhoax kemudian menelusuri tautan di bio tiktok riskacabby12 diketahui tautan mengarah ke pengisian formulir yang meminta data pribadi seperti nama lengkap nomor plat kendaraan asal provinsi jenis kendaraan dan nomor telegram lalu berlanjut ke halaman pengisian kode otp kesimpulan unggahan berisi tautan pendaftaran bbm gratis regulasi thr dari pertamina dan pemerintah merupakan konten yang palsu fabricated content ditulis oleh moch marcellodiansyah,1
salah video truk nekat terobos dan tabrak tarub resepsi beredar sebuah unggahanvideo arsip oleh akun instagram yantidarrel pada minggu 6 4 2025 video tersebut menunjukkan sejumlah truk tampak menerobos jalan yang diduga ditutup oleh warga untuk acara resepsi warga yang ada di lokasi pun terlihat berusaha menghentikan laju kendaraan akan tetapi sopir truk tampak tetap terus melaju kendaraanya hingga terdengar suara remuk pada kursi yang ditabraknya hingga artikel ini ditulis unggahan tersebut telah diputar sebanyak lebih dari 2 juta kali disukai lebih dari 145 ribu kali dan menuai lebih dari 1 500 komentar pemeriksaan fakta tim pemeriksa fakta mafindo turnbackhoax coba melakukan penelusuran sumber tersebut melalui alat pencarian invid dengangoogle hasilnya ditemukan sebuah unggahan serupa oleh akun tiktok radar update dalam keterangannya peristiwa tersebut dilakukan oleh sopir truk batu bara yang nekat menerobos blokade warga di batu kajang kabupaten paser rabu 27 12 2023 aksi blokade ini dilakukan warga lantaran aktifitas muatan batu bara kerap melintasi jalan raya yang berpotensi jalan raya rusak tampak jelas iring iringan truk yang diduga memuat batu bara dari arah kalimantan selatan menabrak kursi plastik yang digunakan warga untuk memblokade jalan dilansir dariberitasatu com truk bermuatan besar itu diminta putar balik oleh masyarakat setempat karena dianggap meresahkan jalan umum selain menutupi jalan warga memenuhi jalan dengan kendaraan bermotor dan membunyikan klakson hal ini dikarenakan warga tak ingin jalan umum berubah menjadi jalan rusak akibat pengangkutan material berat atau curah dengan dump truk di pertambangan kesimpulan unggahan video truk nekat terobos dan tabrak tarub merupakan konten yang menyesatkan misleading content ditulis oleh arief putra ramadhan,1
fakta fakta kasus dugaan korupsi laptop rp9 9 t di era nadiem makarim kejaksaan agung kejagung mengusut kasus dugaankorupsi laptopsenilai rp9 9 triliun di kementerian pendidikan kebudayaan riset dan teknologi kemendikbudristek di era menteri nadiem makarim kepala pusat penerangan hukum kejagung harli siregar mengatakan kasus itu terjadi pada rentang waktu 2019 2023 kasus ini sedang ditangani jajaran jaksa agung muda bidang tindak pidana khusus sejak selasa 20 5 meningkatkan status perkara dari penyelidikan ke penyidikan dalam dugaan tindak pidana korupsi pada kemendikbud ristek dalam pengadaan digitalisasi pendidikan tahun 2019 2023 ucap harli pada jumpa pers senin 26 5 advertisement scroll to continue with content penyidik menemukan indikasi pemufakatan jahat melalui pengarahan khusus tim teknis diarahkan membuat kajian pengadaan alat teknologi informasi dan komunikasi tik berupa laptop dengan dalih teknologi pendidikan harli menyebut ada skenario seolah olah dibutuhkan penggunaan chromebook laptop berbasis sistem chrome padahal uji coba 1 000 chromebook pada 2019 tidak efektif kenapa tidak efektif karena kami tahu bahwa dia berbasis internet sementara di indonesia internetnya itu belum semua sama ucapnya gambas video cnn harli menyampaikan kejagung masih terus menghitung kerugian kasus dugaan korupsi laptop di kemendikbudristek era nadiem makarim saat ini kejagung menaksir kerugian negara rp9 9 triliun jumlah itu terdiri dari rp3 58 triliun dana di satuan pendidikan dan rp6 399 triliun melalui dana alokasi khusus atau dak perkembangannya kami akan update karena ini baru ditingkatkan status penanganan perkara dari penyelidikan ke penyidikan kata harli kejagung membuka peluang memeriksa mantan mendikbudristek nadiem makarim untuk mendalami perkara ini harli mengatakan pemeriksaan sesuai kebutuhan penyidik dia tak menutup kemungkinan pemeriksaan dilakukan terhadap orang orang yang dianggap bisa memberi keterangan semua pihak mana pun siapa pun yang membuat terang tindak pidana ini bisa saja dilakukan pemanggilan dan pemeriksaan ucap harli kediaman orang mantan staf khusus mendikbudristek 2019 2023 fh dan jt digeledah kejagung menggeledah apartemen kuningan place milik fh dan apartemen ciputra world 2 milik jt pada penggeledahan rabu 21 5 penyidik menyita barang bukti berupa 1 unit laptop dan 4 unit ponsel dari apartemen milik fh penyidik menyita barang bukti berupa 1 unit laptop dan 3 unit penyimpanan eksternal berupa hardisk dan flashdisk serta 15 dokumen catatan di apartemen jt selaku staf khusus menteri dikbudristek ungkap harli kepada wartawan senin 26 5,0
salah jokowi pakai rp38 5 triliun dana haji rakyat tak diberi tahu pada sabtu 5 4 2025 beredarunggahandi facebook arsip cadangan yang membagikan gambar tangkapan layar artikel hasil suntingan manipulasi berudul jokowi ternyata sudah pakai rp 38 5 triliun dana haji jamaah tak diberitahu disertai narasi semoga bisa di usut tuntas konoha per arsip dibuat pada minggu 6 4 2025 cuitan tersebut telah mendapatkan 439 komentar dibagikan 306 kali dan mendapatkan reaksi dari seribu pengguna facebook lainnya pemeriksaan fakta tim pemeriksa fakta mafindo turnbackhoax menelusuri kebenaran klaim menggunakan perkakas tools pencarian berita google news dengan kata kunci dana haji infrastruktur hasilnya ditemukan artikel artikel periksa fakta dari sumber sumber kredibel dan autoritatif yang sudah dikurasi oleh google news salah satunya oleh kompas com terbitan kamis 24 01 2019 di artikel bpkh tidak ada satu rupiah dana haji untuk infrastruktur penelusuran menggunakan kata kunci jokowi ternyata sudah pakai rp 38 5 triliun dana haji jamaah tak diberitahu menemukan artikel periksa fakta yang sudah terbit sebelumnya pada kamis 27 6 2024 lalu oleh turnbackhoax id di artikel salah jokowi ternyata sudah pakai rp 38 5 triliun dana haji yang berisi tangkapan layar yang sama selain itu pemeriksaan silang cross check di google news menggunakan kata kunci yang sama menghasilkan artikel artikel periksa fakta dari sumber sumber kredibel dan autoritatif lainnya yang mengkoroborasi dan mendukung artikel periksa fakta tersebut selain menampilkan judul hasil manipulasi di bagian bawah tangkapan layar juga menyertakan tangkapan layar artikel dari situs beritaislam org terbitan kamis 26 9 2019 berjudul dia akan mati ditawur rakyatnya sendiri akankah prediksi cak nun jadi kenyataan yang tidak berkaitan dengan hoaks yang disebarkan kesimpulan unggahan tersebut masuk ke kategori konten yang menyesatkan misleading content faktanya sudah diklarifikasi oleh kepala bpkh pada 2019 lalu bahwa tidak ada penggunaan dana haji selain untuk keperluan pengelolaan penyelenggaraan ibadah haji,1
