Title,FullText,Author,Url,Date
Korban Tewas KMP Tunu Pratama Jaya Bertambah Jadi 5 Orang,"Posko Operasi SAR dan Potensi SAR Gabungan di Pelabuhan Ketapang, Banyuwangi, Jawa Timur, mencatat korban tewas Kapal Motor Penyeberangan(KMP) Tunu Pratama Jayayang tenggelam di Selat Bali bertambah menjadi lima orang. Sedangkan korban yang selamat sebanyak 28 orang (sebelumnya dicatat tim SAR gabungan 31 orang). ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Sampai dengan pukul 13:30 WIB, tim SAR gabungan mencatat ada lima orang korban meninggal dunia,"" kata Koordinator Pos SAR Banyuwangi Wahyu Setia Budi di Banyuwangi, Kamis (3/7). Dengan demikian, dari 65 orang penumpang termasuk ABK KMP Tunu Pratama Jaya yang tenggelam itu, sampai dengan Kamis sore tercatat ada 32 orang penumpang masih dinyatakan hilang dan sedang dalam pencarian tim SAR gabungan. Lima orang korban ditemukan meninggal dunia itu, yakni Anang Suryono (warga Probolinggo), Eko Sastriyo, Elok Rumantini, Cahyani, dan Fitri April (warga Banyuwangi). ""Kelima korban meninggal tersebut ditemukan di perairan laut Pebuahan, Kabupaten Jembrana, Bali. Saat ini jenazah korban di RSU Negara (Bali),"" kata Wahyu. KMP Tunu Pratama Jaya membawa sebanyak 65 orang, terdiri dari 53 penumpang dan 12 kru kapal, tenggelam di Selat Bali, pada Rabu (2/7) malam sekitar pukul 23:35 WIB. KMP Tunu Pratama Jaya bertolak dari Pelabuhan Ketapang, Kabupaten Banyuwangi, sekitar pukul 22:56 WIB menuju Pelabuhan Gilimanuk, Kabupaten Jembrana, Bali. Kapal tenggelam diduga setelah mengalami kebocoran mesin. ",Penulis tidak ditemukan,https://www.cnnindonesia.com/nasional/20250703160520-20-1246580/korban-tewas-kmp-tunu-pratama-jaya-bertambah-jadi-5-orang,2025/07/03 16:13:50
Keji! F-16 Israel Tembak Langsung Kamar Direktur RS Indonesia di Gaza,"Anak DirekturRumah Sakit Indonesiadi Gaza Marwan Al Sultan yang selamat, Lubna Al Sultan, berbagi kesaksian dia saat serangan Israel menghantam kediaman mereka pada Rabu (2/7). Lubna mengatakan jet tempur F-16 yang membawa rudal-rudal langsung menargetkan ruangan sang ayah. ""Rudal F-16 menargetkan kamarnya, tempat dia berada, langsung ke arahnya. Semua kamar di rumah itu utuh kecuali kamar dia yang terkena rudal,"" kata dia, dikutipSaudi Gazette. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Lubna lalu berujar, ""Ayah saya menjadi martir di sana."" Al Sultan tewas dalam serangan brutal Israel semalam. Salah satu sumber mengatakan istri dan satu anak perempuannya juga meninggal dalam gempuran tersebut. Komunitas internasional termasuk Indonesia mengecam tindakan kecam Israel dan meminta pasukan berhenti melakukan kekerasan. Selama ini, Al Sultan dihormati warga Gaza karena dedikasi dia merawat pasien terutama saat agresi Israel ke Palestina pada Oktober 2023. Beberapa pihak yang mengenal dia juga menyampaikan duka mendalam dan menyebut kematian Al Sultan merupakan kehilangan besar bagi warga Gaza. Al Sultan juga banyak bekerja sama dengan tim kemanusiaan internasional di Gaza utara, termasuk dari Inggris, Prancis, Belanda, Belgia, Spanyol, Kanada, dan Maroko. Selain itu, dia tanpa lelah menyediakan layanan medis penting bagi rakyat Palestina meski terus diancam serangan Israel dan menghadapi keterbatasan sumber daya. Rumah Sakit Indonesia berulang kali dikepung dan diserang pasukan Israel. Setelah pengepungan selesai, Al Sultan bergegas kembali ke fasilitas medis itu untuk melanjutkan operasi. ",Penulis tidak ditemukan,https://www.cnnindonesia.com/internasional/20250703153647-120-1246551/keji-f-16-israel-tembak-langsung-kamar-direktur-rs-indonesia-di-gaza,2025/07/03 18:34:27
"Obrigado, Diogoal, Obrigado","'He is our lad from Portugal, better than Figo, don't you know. Oh his name is Diogoal!' Seruan atau chant suporter Liverpool untukDiogo Jotatak akan terdengar sama lagi setelah sang bintang tutup usia pada Kamis (3/7). Kecelakaan tragis di Zamora, Spanyol merenggut nyawa pemain 28 tahun itu bersama sang adik, Andre Silva (25 tahun). Pecinta sepak bola, bukan hanya suporter Liverpool dan Portugal, pun larut dalam duka. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Kesedihan kian terasa mengingat Diogo Jota adalah salah satu pemain hebat yang pernah dimiliki Liverpool. Ia membuktikan, striker tajam tak harus tinggi. Posturnya hanya 178 cm, lebih pendek dari rata-rata penyerang kebanyakan. Karena postur yang tak terlalu tinggi itulah Diogo Jota kerap jadi penyerang sayap kiri hingga penyerang lubang. Tapi di manapun berada, ia mampu tampil garang di setiap klub yang dibela. Total sudah 65 gol dilesakkan dari 182 penampilan bersama Liverpool. Di Wolverhampton Wanderers, ada 44 gol tercipta dari 131 pertandingan. Tajam, dingin, menyergap dalam gelap. Lawan dibikin terkesiap dalam banyak proses gol yang dicetak Diogo Jota. Tak ayal Diogo Jota banyak menyandang julukan dari rekan-rekan setimnya. Curtis Jones menyebut Diogo Jota seperti 'hantu' karena mampu menjebol gawang lawan usai dari sudut-sudut tak terlihat. Sadio Mane menyebut Jota sebagai 'Jogoal'. Ini karena Jota merupakan salah satu mesin gol Liverpool dan membuat The Reds punya lapisan pemain depan yang tebal dan dalam. Legenda Liverpool, Jamie Carragher memanggil Jota dengan sebutan 'Jota the Slotter' karena sering mencetak gol dengan bola rendah namun tajam dan mengarah ke sudut sulit. Tak heran pula suporter Liverpool mengganti nama Diogo Jota menjadi Diogoal dalam chant mereka. Sosok Diogo Jota begitu dihormati di kalangan pendukung setia. Meski Diogoal telah tiada, kenangan tentang dirinya akan selalu lekat dalam ingatan. Selamanya. [Gambas:Video CNN] ",Penulis tidak ditemukan,https://www.cnnindonesia.com/olahraga/20250703164134-142-1246596/obrigado-diogoal-obrigado,2025/07/03 16:50:44
VIDEO: CNSA Rilis Foto Bumi dan Bulan dari Angkasa,"Badan Antariksa Nasional China merilis gambar Bumi dan Bulan yang diambil oleh wahana Tianwen-2 di orbit pada Selasa (1/7). Salah satu foto memperlihatkan Bumi dari jarak sekitar 590 ribu kilometer, sementara gambar lain menampilkan Bulan dari jarak serupa. Tianwen-2 telah berada di orbit selama lebih dari 33 hari, kini berjarak lebih dari 12 juta kilometer dari Bumi. Misi Tianwen-2 yang diluncurkan pada 29 Mei, merupakan misi pengembalian sampel asteroid pertama China. Selama misi yang direncanakan selama 10 tahun, Tianwen-2 akan mengumpulkan sampel asteroid 2016HO3 dekat Bumi, dan menjelajahi komet sabuk utama 311P, yang berada lebih jauh dari Mars.",REUTERS,https://www.cnnindonesia.com/teknologi/20250701154727-203-1245692/video-cnsa-rilis-foto-bumi-dan-bulan-dari-angkasa,2025-07-02 09:35:48
Pram soal Padel Masuk Objek Pajak 10 Persen: Saya Belum Teken Apapun,"Gubernur DKI JakartaPramono Anungmengaku tidak mengetahui fasilitas olahragapadelmasuk dalam objek pajak barang dan jasa tertentu jasa kesenian dan hiburan. Kebijakan itu mengacu pada Keputusan Kepala Badan Pendapatan Daerah (Bapenda) Nomor 257 Tahun 2025 tentang Perubahan Kedua atas Keputusan Kepala Bapenda Nomor 854 Tahun 2024. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Jadi saya sendiri belum pernah tahu tentang olahraga padel dipungut pajak 10 persen,"" kata Pramono di Balai Kota Jakarta, Kamis (3/7). Pramono mengatakan informasi soal pajak fasilitas padel itu memang sudah ramai di media sosial. Namun, dia mengaku belum meneken keputusan apapun soal kebijakan pajak itu. ""Hebohnya udah setengah mati dan ada yang kemudian memviralkan dan dikirim ke saya maupun di IG story saya, tetapi saya sendiri belum tanda tangan dan belum tahu tentang itu,"" ujar Pramono. Pramono tidak menjawab ketika ditanya apakah akan mencabut Keputusan Bapenda yang menetapkan fasilitas olahraga padel sebagai objek pajak. Dia kembali menegaskan soal keputusan gubernur, tanpa penjelasan lebih lanjut. ""Kan yang memutuskan gubernur. Jadi saya belum tahu, ya,"" ujarnya. Pemprov DKI sebelumnya memasukkan padel dalam kategori olahraga permainan yang menjadi objek pajak barang dan jasa tertentu (PBJT) untuk jasa kesenian dan hiburan. Adapun fasilitas padel yang dituliskan dalam keputusan Bapenda yang diteken pada 20 Mei 2025 tersebut adalah lapangannya. ""Betul, olahraga padel dikenai PBJT Hiburan dan Kesenian dengan tarif 10 persen,"" kata Ketua Satuan Pelaksana Penyuluhan Pusat Data dan Informasi Pendapatan Jakarta, Andri M Rijal. Ia membantah pungutan pajak 10 persen karena olahraga itu sedang viral saat ini. Ketentuan tersebut terbit karena menyesuaikan dengan perkembangan olahraga atau hiburan yang ada di masyarakat yang merupakan objek pajak daerah. Pihaknya pun akan terus memantau objek lain dari jasa hiburan yang layak dikenai pajak. ""Sebenarnya pengenaan pajak PBJT untuk olahraga padel ini disesuaikan dengan Pasal 49 ayat (1) huruf i Perda Nomor 1 Tahun 2024, olahraga permainan dengan menggunakan tempat/ruang dan/atau peralatan dan perlengkapan untuk olahraga dan kebugaran. Jadi kami kenakan pajaknya bukan karena viral juga,"" katanya. Selain lapangan padel, ada 20 jenis fasilitas olahraga lain yang turut dikenai pajak serupa. Adapun 20 jenis fasilitas itu antara lain lapangan futsal, tenis, bulutangkis, hingga tempat kebugaran, seperti yoga dan pilates. ",Penulis tidak ditemukan,https://www.cnnindonesia.com/nasional/20250703155807-20-1246567/pram-soal-padel-masuk-objek-pajak-10-persen-saya-belum-teken-apapun,2025/07/03 18:00:57
Menag Sebut Saudi Beri Sinyal Positif Permintaan Indonesia soal Haji,"Menteri AgamaNasaruddin Umar menyebut Pemerintah Arab Saudi memberi sinyal positif terhadap permintaan Indonesia soal urusan ibadah haji. Ia menyebut salah satu yang mendapatkan sinyal positif ialah wacana pembangunan perumahan haji RI di Arab Saudi. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Kita dengarkan bersama bahwa semua permintaan-permintaan Bapak Presiden kita itu dipenuhi oleh Saudi Arabia, antara lain adalah mengenai perumahan haji, nanti kita akan bicarakan, akan datang secara detailnya,"" kata Nasaruddin di Jeddah, Arab Saudi, Kamis (3/7). Kepala Badan Penyelenggara Haji (BPH) M Irfan Yusuf menyebut Presiden RI Prabowo Subianto akan membentuk tim untuk mengkaji soal itu. Ia menyebut tim itu nantinya akan mengkaji kemungkinan-kemungkinan yang bisa dilakukan pemerintah Arab dan Indonesia perihal kampung haji tersebut. ""Kampung Haji itu juga beliau akan membentuk tim untuk mengkaji kemungkinan-kemungkinan yang akan bisa dilakukan oleh pemerintah Saudi dan pemerintah Indonesia,"" kata Gus Irfan. Pada kesempatan itu, Nasaruddin juga menyebut Putra Mahkota sekaligus Perdana Menteri Arab Saudi, Pangeran Mohammed bin Salman Al Saud sebagai sosok yang terbuka dan periang. Ia menyampaikan itu usai mendampingi Prabowo bertemu MbS di Istana Al-Salam dalam kunjungan kenegaraan ke Arab Saudi, Rabu (2/7). ""Banyak sekali tadi topiknya itu sambil santai, terbuka betul itu Pak Raja kita itu, Raja MbS itu, sangat-sangat riang, sangat terbuka,"" kata Nasaruddin. Ia mengaku perbincangan antara delegasi kedua negara berjalan dengan sangat akrab. Nasaruddin menyebut bahasan dalam pertemuan itu juga sangat beragam, mulai dari urusan haji, potensi kerjasama, hingga olahraga. Menurutnya hal itu pun menjadi pertanda baik atas hubungan diplomatik kedua negara ke depan. ""Sampai ngakak ya, ketawa-ketawa terbahak-bahak,"" ujarnya. Prabowo bersama delegasi RI melakukan kunjungan kenegaraan ke Arab Saudi. Dia dan rombongan terbang dari Lanud Halim Perdanakusuma Jakarta pada Selasa (1/7). ",Penulis tidak ditemukan,https://www.cnnindonesia.com/nasional/20250703163014-20-1246593/menag-sebut-saudi-beri-sinyal-positif-permintaan-indonesia-soal-haji,2025/07/03 16:43:34
IHSG Melemah Tipis ke 6.878 Sore Ini,"Indeks HargaSahamGabungan (IHSG) ditutup di level 6.878 pada Kamis (3/7) sore. Indeks saham melemah 3,19 poin atau minus 0,05 persen dari perdagangan sebelumnya. Mengutip RTI Infokom, investor melakukan transaksi sebesar Rp7,95 triliun dengan jumlah saham yang diperdagangkan sebanyak 18,16 miliar saham. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Pada penutupan kali ini, 324 saham menguat, 239 terkoreksi, dan 230 lainnya stagnan. Terpantau, dua dari 11 indeks sektoral melemah, dipimpin oleh sektor keuangan yang minus 0,15 persen. Sementara sembilan sektor lainnya menguat, dipimpin oleh sektor barang konsumen primer yang naik 1,33 persen. Beralih ke bursa asing, mayoritas bursa saham di kawasan Asia terpantau bergerak di zona hijau. Tercatat, indeks Straits Times di Singapura menguat 0,03 persen, indeks Nikkei 225 plus 0,06 persen, dan indeks Shanghai Composite di China naik 0,18 persen. Sedangkan indeks Hang Seng Composite di Hong Kong melemah 0,63 persen. Senada, mayoritas bursa saham Eropa menguat. Tercatat indeks DAX di Jerman menguat 0,24 persen dan indeks FTSE 100 di Inggris plus 0,49 persen. Setali tiga uang, bursa Amerika terpantau dominan hijau. Indeks S&P500 menguat 0,47 persen dan indeks NASDAQ Composite plus 0,94 persen. Sementara itu, indeks Dow Jones tercatat melemah 0,02 persen. [Gambas:Video CNN] ",Penulis tidak ditemukan,https://www.cnnindonesia.com/ekonomi/20250703160533-92-1246579/ihsg-melemah-tipis-ke-6878-sore-ini,2025/07/03 16:23:56
Kenapa Lagu Galau Masih Dominasi Chart Indonesia?,"Lagu galau menjadi salah satu jenismusikyang sering mendominasi tangga lagu atau chart di berbagai lokasi, termasuk di Indonesia. Ternyata ada alasan ilmiah di balik kenapa lagu galau masih mendominasi chart di Indonesia. Indonesia sebenarnya nyaris tak lagi memiliki chart musik. Terakhir kali, chart musik secara keseluruhan di Indonesia beredar pada 2011, seiring dengan toko-toko kaset dan musik fisik tutup di Indonesia yang kemudian disusul penutupan media-media musik. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Namun tak lama setelah itu, layanan streaming datang ke Indonesia seiring dengan penggunaan internet yang makin masif. Apple Music hadir pada 2015, disusul dengan Spotify masuk ke Indonesia pada 2016, YouTube Music pada 2019, Resso pada 2020. Keempatnya menjadi sejumlah pemain utama musik on demand di Indonesia. Dengan keberadaan layanan musik streaming, chart musik Indonesia kembali hadir mengingat masing-masing layanan memiliki tangga musiknya sendiri. Apalagi pertumbuhan konsumsi musik secara streaming juga terus bertambah, seperti dari 2019-2022 mencapai 35 persen per tahun, diberitakanAntarapada Juni 2023. Dari tangga lagu itulah, terlihat lagu-lagu yang berhasil menarik minat pendengar dalam satu rentang waktu. Dan bukan hal yang aneh saat sebagian di antaranya, bahkan kadang kala didominasi, oleh lagu-lagu galau. Seperti dari hasil pantauanCNNIndonesia.comdi tangga lagu pekanan Top Songs Indonesia di Spotify pada 24 Juni 2025, setidaknya lima dari 10 lagu teratas terbilang lagu galau, baik secara lirik maupun melodi. Salah satunya adalah lagu Mangu dari Fourtwnty dan Charita Utami menjadi lagu paling didengar dan duduk di peringkat pertama. Lagu tersebut mengisahkan hambatan dalam menjalin asmara karena perbedaan keyakinan agama. Lagu-lagu galau lainnya ada juga yang mengisahkan keinginan untuk menjadi teman hidup seperti Bergema Sampai Selamanya dari Nadhif Basalamah yang berada di posisi 5. Ada pula Serana dari For Revenge yang duduk di posisi 6 Top Songs Indonesia di Spotify. Lagu ini mengisahkan seseorang yang mengalami kehilangan dan kesulitan melupakan seseorang yang spesial. Kemunculan lagu-lagu galau di chart Indonesia ini sebenarnya bisa dijelaskan secara ilmiah. Annemieke J.M. van den Tol dari School of Psychology, De Montfort University, Inggris menjabarkan alasan mengapa lagu-lagu galau bisa sangat populer. [Gambas:Video CNN] Dalam penelitian bertajukThe appeal of sad music: A brief overview of current directions in research on motivations for listening to sad musicyang dirilis dalam jurnalThe Arts in Psychotherapypada 2016, van den Tol menyebut sedih adalah emosi yang paling umum berkaitan dengan musik. ""Temuan menunjukkan bahwa banyak orang melaporkan bahwa mereka memilih untuk mendengarkan musik sedih ketika mengalami kesedihan, dan setelah mengalami peristiwa negatif,"" kata van den Tol. Menurut van den Tol, seseorang memilih untuk mendengarkan musik sedih atau galau adalah karena fungsi musik dalam ""memvalidasi emosi, memberikan penghiburan, memberikan pengalaman emosional yang bermanfaat, dan membantu refleksi juga relaksasi."" Lanjut ke sebelah... ""Bagi mereka yang mendengarkan musik sedih sebagai cara adaptasi untuk mengatasi emosi tersebut, sejumlah temuan menunjukkan bahwa ini mungkin jadi strategi sehat yang lebih bisa dilakukan oleh orang dengan psikis yang sehat,"" lanjutnya. ""Musik sedih juga terbukti memberikan dukungan saat orang mengalami kejadian negatif dalam hidup, karena memungkinkan ekspresi, identifikasi, dan pemahaman situasi, yang pada gilirannya membantu pengalaman penghiburan, dan akhirnya, penerimaan dalam mengatasinya."" Hal serupa juga diungkap oleh pakar psikologi musik Michael Bonshor yang bekerja sama dengan Spotify dalam membuat Bummer Summer Playlist. Bonshor juga mengakui bahwa musik sedih yang bisanya bermelodi lembut dan lambat itu makin populer di Generasi Z. ""Ada alasan lain untuk mendengarkan musik sedih-seperti keindahan dalam lagu sedih. Seperti melodinya, irama yang menenangkan, dan sebagainya. Namun, ada beberapa alasan mengapa Gen Z lebih sering melakukannya daripada generasi lainnya,"" kata Bonshor seperti diberitakanEsquirepada September 2023. ""Pertama, mereka tumbuh menjadi pengguna lihai teknologi. Kehidupan sosial mereka terbentuk dari hal itu. Mereka menggunakannya untuk menjelajahi dunia, menyelesaikan masalah, dan mendapatkan saran."" [Gambas:Photo CNN] ""Saya juga berpikir mereka lebih sadar akan perasaan mereka. Tampaknya ada perasaan yang sangat empatik di antara Gen Z. Dan mereka, tentu saja, terbiasa menyesuaikan cara mendengarkan mereka dengan cara yang tidak dapat dilakukan oleh generasi sebelumnya."" ""Mereka dapat menyesuaikan musik mereka dengan suasana hati mereka, atau untuk mendukung apa pun yang sedang mereka lakukan. Hal itu dapat membuat mereka terhibur saat mengekspresikan atau melepaskan emosi mereka. Anda dapat merasakan katarsis dengan bernyanyi bersama seseorang,"" katanya. Sehingga kenapa lagu galau masih mendominasi chart Indonesia, selain karena musik bisa memvalidasi perasaan seseorang, musik sedih makin populer karena sebagian besar pengguna layanan streaming musik adalah Generasi Z yang lebih sadar akan perasaan mereka. [Gambas:Video CNN] Selain itu, musik sedih atau galau juga memiliki dampak yang menenangkan karena ketukan iramanya yang lambat dan lembut, sehingga menjadi pilihan banyak orang untuk diputar meskipun mereka belum tentu merasakan hal yang sedih. ""Kecepatan musiknya yang lambat memengaruhi tubuh kita. Jika kita bernapas perlahan dan dalam, kita mulai rileks. Selain itu, tubuh dan pikiran kita dilatih untuk merespons tempo musik. Kita menyesuaikan diri secara fisik dengan tempo tersebut,"" kata Bonshor. ""[Pernapasan kita] melambat, kemudian detak jantung kita melambat, dan kita mulai merasa lebih baik. Mendengarkan musik sedih juga melepaskan hormon positif."" ",Endro Priherdityo,https://www.cnnindonesia.com/hiburan/20250624172952-227-1243403/kenapa-lagu-galau-masih-dominasi-chart-indonesia,2025/06/25 08:30:08
FOTO: Penetapan Ricky P. Gozali Jadi Deputi Gubernur BI oleh DPR,,Antara Foto,https://www.cnnindonesia.com/ekonomi/20250703124607-80-1246437/foto-penetapan-ricky-p-gozali-jadi-deputi-gubernur-bi-oleh-dpr,2025/07/03 13:15:28
Anak Buah AHY Sebut Aturan Ongkir Truk Pencegah ODOL Akan Diuji Publik,"Asisten Deputi Konektivitas Darat dan Perkeretaapian di Kementerian Koordinator Bidang Infrastruktur dan Pembangunan Kewilayahan (Kemenko IPK) Hermin Esti Setyowati menyebut aturantarif ongkos kirimtruksegera diuji publik. Pernyataan itu disampaikan merespons salah satu tuntutan aksi unjuk rasa aturan nol kelebihan muatan dan dimensi atau Zero Overdimension Overload (ODOL). Massa aksi menuntut pemerintah menetapkan tarif ongkir agar tidak merugikan sopir truk. ""Ada (pengaturan batas atas dan bawah tarif), nanti akan diatur lebih lanjut untuk aturannya. Ini sudah hampir masuk dalam uji publik untuk Raperpres Pemuatan Logistik Nasional,"" kata Esti setelah audiensi dengan sopir truk di Kantor Kemenhub, Jakarta, Rabu (2/7). ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Esti menyampaikan aturan tarif ongkir truk masuk dalam rencana aksi pemerintah tentang logistik nasional. Rencana aksi itu juga mencakup beberapa kebijakan yang menjawab tuntutan para sopir truk. Salah satunya kebijakan pemberian insentif. Esti menyebut ada rencana pemberian insentif bagi sopir truk untuk normalisasi ukuran angkutan barang. ""Itu sudah kami atur juga dalam rencana aksi, termasuk pemberian insentif untuk normalisasi,"" ujarnya. Sebelumnya, sejumlah asosiasi sopir truk menggelar aksi unjuk rasa di Jakarta. Mereka memarkir ratusan truk di dekat Ring 1 Jakarta untuk memprotes kebijakan Zero ODOL. Para sopir mengatakan ODOL disebabkan persaingan harga di pasaran. Mereka terpaksa memuat barang lebih dari kapasitas yang ditentukan demi mendapatkan bayaran yang sesuai. Ketua Umum Rumah Berdaya Pengemudi Indonesia (RBPI) Ika Rostianti menyebut kondisi ini terjadi karena pemerintah melepas ongkos kirim ke mekanisme pasar. ""Kalau perlu misalnya upah atau tarif yang diterima itu ya per kilometer, per jam. Karena pemerintah enggak berani bikin batasan-batasan kayak gitu,"" ujar Ika pada jumpa pers di Kantor DPP Konfederasi Sarbumusi, Jakarta Pusat, Selasa (1/7). [Gambas:Video CNN] ",Penulis tidak ditemukan,https://www.cnnindonesia.com/ekonomi/20250702144726-92-1246091/anak-buah-ahy-sebut-aturan-ongkir-truk-pencegah-odol-akan-diuji-publik,2025/07/02 19:20:37
