Title,FullText,Author,Url,Date
"Film Dendam Malam Kelam, Remake El Cuerpo Spanyol","JAKARTA, KOMPAS.com- FilmDendam Malam Kelamadalah thriller misteri Indonesia yang tayang perdana pada 28 Mei 2025. Disutradarai oleh Danial Rifki dan diproduksi oleh Falcon Pictures, film ini merupakan adaptasi dari El Cuerpo (The Body) karya sutradara Spanyol Oriol Paulo. El Cuerpo yang dirilis tahun 2012 juga dikenal dengan judul The Body. Baca juga:Davina Karamoy Kembali Jadi Pelakor lewat Film Dendam Malam Kelam Dendam Malam Kelam mengusung genre thriller misteri yang mengeksplorasi psikologis karakter dan alur cerita yang penuh kejutan. Kisah berpusat pada Jefri dan Sarah, pasangan selingkuh yang terlibat dalam pembunuhan Sofia, istri sah Jefri. Mereka berusaha menyusun alibi sempurna, namun rencana mereka terguncang ketika jenazah Sofia menghilang dari kamar mayat. Kehilangan ini memicu serangkaian peristiwa misterius dan teror psikologis yang menghantui mereka. Penyidik Arya Pradana ditugaskan untuk mengungkap kebenaran di balik hilangnya jenazah dan kejadian-kejadian aneh yang mengikuti. Sementara itu, Jefri mulai mengalami gangguan mental, dihantui rasa bersalah dan ketakutan akan pembalasan. Arya Saloka sebagai Jefri Davina Karamoy sebagai Sarah Marissa Anita sebagai Sofia Bront Palarae sebagai Arya Putri Ayudia sebagai Dr. Nadia Sigit Antonio sebagai Dani Agustinus ",Penulis tidak ditemukan,https://entertainment.kompas.com/read/2025/05/29/123115066/film-dendam-malam-kelam-remake-el-cuerpo-spanyol,"Kompas.com- 29/05/2025, 12:31 WIB"
Persebaya dan Malut United Absen di ASEAN Club Championship 2025-2026?,"KOMPAS.com- Kabar kurang menggembirakan datang untuk sepak bola Indonesia menjelang pengundianASEAN Club Championship2025/2026. Pengundian ASEAN Club Championship 2025-2026 dijadwalkan berlangsung pada 4 Juli 2025 di Bangkok, Thailand. Sayangnya, isu yang beredar di media sosial menunjukkan bahwa tidak ada klub dari Indonesia yang berpartisipasi dalam kompetisi ini. Berdasarkan klasemen Liga 1 musim lalu, seharusnyaMalut UniteddanPersebayamemiliki hak untuk mewakili Indonesia di ASEAN Club Championship 2025/2026. Kedua tim tersebut menempati posisi ketiga dan keempat di akhir klasemen Liga 1 musim lalu. Namun, daftar peserta yang bocor di media sosial menunjukkan bahwa tidak ada wakil Indonesia pada daftar peserta yang berhasil mencapai fase grup atau pun menjalani play-off terlebih dahulu. Baca juga:Sentuhan Balkan di Persebaya, Eduardo Perez Puas dengan Komposisi Tim Sampai saat ini, AFF sebagai penyelenggara belum memberikan konfirmasi terkait isu mengenai tidak adanya wakil dari Indonesia di ajang ASEAN Club Championship 2025/2026. Pihak Malut United dan Persebaya Surabaya pun belum membalas permintaan penjelasan resmi dari Kompas.com saat berita ini diturunkan. ASEAN Club Championship 2025/2026 baru saja memperluas jumlah peserta. Pada musim lalu, hanya 12 tim dari 10 negara AFF yang mengikuti kompetisi ini. Namun, AFF menambah jumlah peserta menjadi 14 tim. Klub-klub Indonesia sebenarnya memiliki prestasi cukup baik di ajang tersebut. PSM Makassar, misalnya, berhasil menjadi penampil terbaik pada musim lalu dengan mencapai semifinal. Sayangnya, langkah PSM terhenti oleh Chong An Hanoi dengan agregat 1-2. Baca juga:Permasalahan Malut United dan Yeyen Tumena Resmi Tuntas Di lain sisi, daftar peserta yang ada menunjukkan bahwa kompetisi akan semakin menarik.",Penulis tidak ditemukan,https://bola.kompas.com/read/2025/07/03/13275698/persebaya-dan-malut-united-absen-di-asean-club-championship-2025-2026,"Kompas.com- 03/07/2025, 13:27 WIB"
"Isi Telepon PM Thailand yang Jadi Skandal, Panggilan ""Paman"" Jadi Masalah","BANGKOK, KOMPAS.com- Perdana MenteriThailandPaetongtarn Shinawatratengah menghadapi tekanan politik serius setelah Mahkamah Konstitusi menangguhkan sementara jabatannya. Keputusan ini diambil seiring proses pemeriksaan atas dugaan pelanggaran etika dalam percakapannya dengan mantan Perdana MenteriKamboja, Hun Sen. Sebanyak 36 anggota Senat Thailand mengajukan permohonan pemecatan terhadap Paetongtarn. Mereka menuduh sang perdana menteri melanggar konstitusi dan etika pejabat publik usai melakukan panggilan telepon dengan Hun Sen pada 15 Juni 2025. Baca juga:Krisis Politik Thailand: 3 Hari 3 PM, Berawal dari Skandal Telepon Rekaman percakapan itu belakangan dibocorkan ke publik oleh Hun Sen dan memicu aksi unjuk rasa besar-besaran di Bangkok pada akhir pekan lalu. Panggilan telepon tersebut dilaporkan terjadi setelah insiden baku tembak di wilayah Segitiga Zamrud, kawasan perbatasan sengketa antara Thailand, Kamboja, dan Laos. Dalam insiden itu, seorang tentara Kamboja tewas pada akhir Mei lalu. Alih-alih meredakan ketegangan, isi percakapan justru memantik kontroversi. Dalam rekaman yang tersebar, Paetongtarn terdengar menyebut militer Thailand sebagai “masalah” baginya, serta menggunakan bahasa yang dinilai terlalu akrab saat berbicara dengan Hun Sen. Menurut laporan media-media setempat, Paetongtarn memanggil Hun Sen dengan sebutan ""paman"". “Paetongtarn melontarkan beberapa pernyataan yang sangat tidak bijaksana, menyiratkan bahwa militer Thailand menjadi masalah baginya,” ujar Greg Raymond, dosen senior di Pusat Studi Strategis dan Pertahanan, Universitas Nasional Australia, dikutip dariABC News, Selasa (1/7/2025). Menurut Raymond, gaya bahasa Paetongtarn dalam percakapan itu dianggap tidak profesional. “Ia menggunakan bahasa yang cukup sopan dan akrab dengan Hun Sen. Ini sangat tidak profesional dan menunjukkan kurangnya pengalaman politik sebagai perdana menteri,” imbuhnya. Senada dengan itu, Gordon Conochie, peneliti dari La Trobe University yang fokus pada politik Kamboja, menilai isi percakapan memperkuat kecurigaan publik tentang kedekatan keluarga Shinawatra dengan Hun Sen. “Itulah kerugian terbesar bagi Paetongtarn. Kini ia harus berusaha menjauh dari hubungan itu,” kata Conochie. Baca juga:PM Thailand Diskors Usai Skandal Telepon, Siapa Penggantinya? NOEL CELIS / AFPPM Kamboja Hun Sen.Kedekatan antara keluarga Shinawatra dan Hun Sen bukan hal baru dalam politik Asia Tenggara. Thaksin Shinawatra, ayah Paetongtarn dan juga mantan perdana menteri, diketahui menjalin hubungan pribadi dan politik yang erat dengan Hun Sen selama bertahun-tahun.",Penulis tidak ditemukan,https://internasional.kompas.com/read/2025/07/03/051500370/isi-telepon-pm-thailand-yang-jadi-skandal-panggilan-paman-jadi-masalah,"Kompas.com- 03/07/2025, 05:15 WIB"
"Bandai Namco Umumkan Game Adu Jotos ""My Hero Academia""","KOMPAS.com- Perusahaangameasal Jepang,Bandai Namcomenggelar acara virtual berjudul ""Bandai Namco Summer Showcase 2025"", Rabu (2/7/2025) kemarin. Dalam acara ini, mereka mengumumkan sejumlah game baru, salah satunya adalah game adu jotos(fighting)tiga dimensi (3D) bertajukMy Hero Academia: All's Justice. Sesuai namanya, game ini merupakan adaptasi dari serial animasi Jepang (anime) populer dengan judul yang sama,My Hero Academia. Ini sebenarnya bukan merupakan gameMy Hero Academiapertama. Namun, Bandai Namco mengatakan bahwa ini merupakan game yang punya daftar karakter terlengkap dari semua gameMy Hero Academialain. Baca juga:Bandai Namco Umumkan Waktu Peluncuran Game MOBA Dragon Ball Project: Multi Dalam game ini, pemain bisa menggunakan karakter-karakter dari sekolah pahlawan (U.A. High School) yang ada diMy Hero Academia, terutama mereka yang berasal dari kelas 1A. Di antaranya seperti Izuku Midoriya, Katsuki Bakugo, Shoto Todoriki, Ochacho Uraraka, Tenya Lida, Tsuyu Asui, Momo Yaoyorozu, Denki Kaminari, dan masih banyak lagi. Mereka juga akan bisa memakai beberapa karakter dari aliansi Pro Hero, seperti All Might, Endeavor, Hawks, dkk, serta karakter penjahat (Villain) seperti Tomura Shigaraki, All For One, Dabi, dan lain sebagainya. Nah, di dalam game, pemain akan bisa memilih tiga karakterMy Hero Academiadan bertarung dengan tiga karakter lainnya (3vs3). Yang terbaru di game ini adalah sistem ""Rising"", di mana pemain bisa meningkatkan kekuatan karakternya secara berkala untuk mengeluarkan jurus pamungkas dan mengalahkan musuh bermainnya. Bandai Namco tak mengumbar kapan jadwal rilisMy Hero Academia: All's Justice. Namun yang jelas, game ini dikembangkan bersamaan dengan musim terakhirMy Hero AcademiaSeason 8 yang dijadwalkan tayang sekitar Oktober 2025 mendatang. Baca juga:Bandai Namco Pamer Gameplay Tekken 8 di PS5 Ketika tersedia nanti, game ini akan bisa dimainkan di platform PlayStation 5 (PS5), Xbox Series X/S, dan PC (via Steam). SelainMy Hero Academia: All's Justice, Bandai Namco juga mengumumkan beberapa game baru lainnya dalam acara yang sama. Daftar game yang diumumkan Bandai Namco di Bandai Namco Summer Showcase 2025 adalah sebagai berikut, sebagaimana dirangkumKompasTeknodariTheGamer,Kamis (3/7/2025).",Penulis tidak ditemukan,https://tekno.kompas.com/read/2025/07/03/14370057/bandai-namco-umumkan-game-adu-jotos-my-hero-academia-,"Kompas.com- 03/07/2025, 14:37 WIB"
"Tinjau Implementasi Program RB Tematik Ketahanan Pangan, Menteri PANRB: Ketahanan Pangan Penting untuk Cegah Stunting","KOMPAS.com-Ketahanan panganrumah tangga merupakan kunci untuk mencegahstuntingdan kekurangan gizi kronis pada anak. Oleh karena itu, Presiden RI Prabowo Subianto menjadikanketahanan pangansebagai salah satu program prioritas yang diwujudkan melalui program reformasi birokrasi (RB) tematik agar dampaknya dapat terukur dan tepat sasaran. Untuk melihat langsung implementasi programRB tematikketahanan pangan, Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (PANRB) Rini Widyantini mengunjungi pusat kesehatan masyarakat (Puskesmas) Tambakrejo Surabaya, Kamis (3/7/2025). Salah satu program ketahanan pangan yang dilakukan di lokasi tersebut adalah pemberian makanan bergizi bagi ibu hamil. Baca juga:Ibu Hamil Usia Anak di Lombok Timur Capai 779 Ribu pada 2024 “Saya sudah melihat bagaimana kolaborasi puskesmas dengan Kantor Urusan Agama (KUA) dan masyarakat dalam mendukung ketahanan pangan telah dikelola dengan baik,” ujarnya melalui siaran pers, Kamis. Rini menegaskan, pemerintah menyiapkan berbagai strategi untuk mendorong ketahanan pangan guna memperbaiki kualitas gizi anak. Sejumlah program yang melibatkan berbagai sektor ini diharapkan dapat meningkatkan produksi pangan, akses pada pangan, serta kualitas gizi yang dikonsumsi oleh masyarakat, terutama anak-anak dan ibu hamil. Dok. Humas Kementerian PANRBMenteri PANRB Rini Widyantini saat meninjau implementasi pelaksanaan program RB tematik ketahanan pangan di Puskesmas Tambakrejo, Surabaya, Jawa Timur, Kamis (3/7/2025). Kunjungan Rini ke Puskesmas Tambakrejo merupakan bagian dari implementasi program prioritas Presiden Prabowo, yang menekankan pentingnya kehadiran birokrasi secara nyata dalam menyelesaikan persoalan strategis, termasuk penurunan angkastuntingdan penguatan ketahanan pangan. Baca juga:Untuk Menangani Stunting dari Hulu, Pemerintah Bentuk Dream Team “Melalui kunjungan ini, kami ingin memastikan bahwa program berjalan tepat sasaran dan memberi manfaat nyata bagi masyarakat,” tuturnya. Rini menyatakan, dirinya ingin mendengar langsung aspirasi dan umpan balik dari para penerima layanan. Hal ini penting agar reformasi birokrasi tidak hanya berhenti pada tataran administratif, tetapi benar-benar menghadirkan perubahan yang dapat dirasakan rakyat. Sebagai informasi, RB tematik disusun untuk memastikan keberlangsungan visi dan misi Presiden Prabowo. Kementerian PANRB telah menetapkan lima program RB tematik, yakni RB Pengentasan Kemiskinan, RB Peningkatan Investasi, RB Mendorong Hilirisasi, RB MendukungKetahanan PanganNasional, serta RB Peningkatan Kualitas dan Akses Layanan Kesehatan. Penetapan kelima program RB tematik tersebut akan dituangkan dalam PeraturanMenteri PANRByang akan diundangkan dalam waktu dekat. Baca juga:Hadiri Retret di IPDN, Menteri PANRB Ajak Kepala Daerah Genjot Reformasi Birokrasi",Penulis tidak ditemukan,https://nasional.kompas.com/read/2025/07/03/19312091/tinjau-implementasi-program-rb-tematik-ketahanan-pangan-menteri-panrb,"Kompas.com- 03/07/2025, 19:31 WIB"
Cara Buat dan Edit Gambar AI Langsung di WhatsApp,"KOMPAS.COM- Kini, penggunaWhatsAppdapat membuat dan mengedit gambar berbasis kecerdasan buatan (AI) secara langsung melalui fitur integrasiChatGPT, tanpa perlu mengunduh aplikasi tambahan. Cukup dengan menyimpan kontak resmi ChatGPT di WhatsApp, pengguna dapat mengirim perintah dalam bentuk teks untuk menghasilkan atau memodifikasi gambar sesuai kebutuhan. Fitur ini memungkinkan proses kreatif yang lebih mudah diakses, efisien, dan intuitif, hanya melalui percakapan biasa di aplikasi WhatsApp. Perlu dicatat bahwa fitur ini tidak terhubung dengan layanan MetaAI milik WhatsApp, sehingga memberikan alternatif independen bagi pengguna yang ingin memanfaatkan teknologi AI dalam visual secara praktis dan aman. Lantas bagaimana cara membuat dan editgambar AIlangsung di WhatsApp. Baca juga:Trik agar Orang Lain Tak Bisa WhatsApp Kita Tanpa Blokir, Begini Caranya Kompas.com/soffyarantiIlustrasi cara buat gambar AI di WhatsApp Baca juga:Fitur Baru WhatsApp, Bisa Lihat Jumlah Orang yang Sedang Online di Grup WA Demikian cara membuat gambar AI di WhatsApp dengan mudah. Semoga membantu. Dapatkan update berita teknologi dan gadget pilihan setiap hari. Mari bergabung di Kanal WhatsApp KompasTekno. Caranya klik link https://whatsapp.com/channel/0029VaCVYKk89ine5YSjZh1a. Anda harus install aplikasi WhatsApp terlebih dulu di ponsel.",Penulis tidak ditemukan,https://tekno.kompas.com/read/2025/07/03/13440087/cara-buat-dan-edit-gambar-ai-langsung-di-whatsapp,"Kompas.com- 03/07/2025, 13:44 WIB"
"HONOR 400 Series Resmi Dirilis di Indonesia, Ubah Foto Jadi Hidup dengan Fitur AI Image to Video","KOMPAS.com –HONORresmi merilis serismartphoneterbarunya,HONOR 400Series, untuk pasar Indonesia pada Kamis (3/7/2025). Seri ini terdiri dari HONOR 400 danHONOR 400 Liteyang menyasar kalangan pengguna aktif, kreatif, dan sosialita digital. Peluncuran itu menjadi momentum penting karena HONOR 400 Series hadir dengan teknologi Next-GenAIImaging, termasuk fiturAI Image to Videoyang dikembangkan bersamaGoogle Veo2. HONOR 400 Series menjadismartphonepertama di dunia yang menyematkan fitur AI Image to Video berbasisGoogle Veo 2. Fitur itu mampu mengubah foto statis menjadi video berdurasi 5 detik dalam format MP4 dengan rasio 16:9 atau 9:16 dalam satu ketukan. Hasilnya terlihat natural dan dinamis, seperti diambil langsung dengan kamera video. Tanpa perlu keahlian khusus atau aplikasi tambahan, pengguna bisa mencoba fitur tersebut pada potret individu, lanskap, hingga halaman komik. AI Image to Video pada HONOR 400 Series dapat menghidupkan foto statis dengan hasil yang tampak ekspresif. Baca juga:Smartphone Honor 400 dan Honor 400 Lite Resmi di Indonesia, Ini Harganya Contohnya, potret wajah seseorang yang semula diam bisa berubah menjadi video singkat dengan mata yang berkedip, senyum yang muncul perlahan, hingga efek rambut bergerak karena tertiup angin yang halus. Fitur itu tidak hanya bisa digunakan untuk foto makhluk hidup, tetapi juga dapat mengubah gambar atau animasi, seperti komik, untuk menjadi video bergerak. Misalnya, foto lukisan pemandangan dapat diubah menjadi video seolah diambil menggunakandrone. Fitur AI Image to Video HONOR 400 Series tersedia secara gratis hingga 10 kali penggunaan per hari selama 2 bulan sejak pertama kali diaktifkan. Selain AI Image to Video, HONOR 400 Series juga dibekali serangkaian fitur berbasis AI yang mempermudah proses pengeditan dan pembuatan konten visual. Berikut adalah beberapa fitur AI unggulan pada HONOR 400. Fitur ini dapat memindahkan obyek ke latar baru, menghapus latar belakang menjadi transparan atau warna solid, hingga menggabungkan foto dengan idola atau suasana berbeda. Fitur ini juga dapat digunakan bersamaan dengan fitur AI Image to Video. Fitur ini mampu menghapus obyek atau orang di latar belakang dengan mudah dan cepat, seperti pantulan di kaca dan silau cahaya, tiang listrik yang mengganggu estetika foto, serta orang yang tidak sengaja lewat di belakang saatselfie. Fitur tersebut bekerja secara cerdas dengan mengisi area yang dihapus. Kemudian, memadukannya dengan lingkungan sekitar untuk memberikan hasil yang bersih dan terlihat alami. dok. HONORHONOR 400 memiliki serangkaian fitur berbasis AI yang mempermudah proses pengeditan dan pembuatan konten visual. Fitur ini dapat memperluas batas gambar, memperluas lanskap, latar belakang, atau bahkan mengubah rasio foto dengan mulus sambil mempertahankan hasil yang alami. Cocok digunakan untuk menyempurnakan foto sebelum diunggah ke media sosial. Fitur ini dapat menyempurnakan foto dengan mendeteksi secara cerdas mata individu yang tertutup, baik dalam potret individu maupun foto grup. Kemudian, teknologi AIGC dapat membuat mata terbuka secara otomatis.",Penulis tidak ditemukan,https://tekno.kompas.com/read/2025/07/03/19483427/honor-400-series-resmi-dirilis-di-indonesia-ubah-foto-jadi-hidup-dengan-fitur,"Kompas.com- 03/07/2025, 19:48 WIB"
Ini Dia Pemenang Vindes Bahkan Voli 2,"JAKARTA, KOMPAS.com -Tim The Musicians menang VindesBahkan Voli2 melawan D'Komika di Mahaka Square, Jakarta Utara, Sabtu (31/5/2025) malam. Tim musisi mengalahkan tim komika dengan skor 3-1. Pada set pertama, tak disangka tim komika unggul 25-18. Penyanyi Nyoman Paul menunjukkan kemampuannya bermain voli. Kemudian pada set kedua, The Musicians kembali unggul (25-20). Pertandingan berlangsung seru karena beberapa kali skor mereka kejar-kejaran. Dari tim komika, Oki Rengga berhasil melemparkan pukulan tajam. Namun, usaha itu tak membuat tim komika menang. Pada set 3, D'Komika akhirnya mengejar ketertinggalan dan unggul dengan skor 14-25. Pertandingan kembali sengit pada set keempat karena kedua tim menunjukkan permainan terbaiknya. Skor sempat kejar-kejaran, tetapi akhirmya tim musisi menang 25-22.",Penulis tidak ditemukan,https://entertainment.kompas.com/read/2025/05/31/231700566/ini-dia-pemenang-vindes-bahkan-voli-2,"Kompas.com- 31/05/2025, 23:17 WIB"
"Sinopsis Film 28 Years Later, Film Baru Danny Boyle","JAKARTA, KOMPAS.com- SutradaraDanny Boylekembali dengan sebuah karya baru. Ini merupakan seri ketiga setelah sebelumnya28 Days Later(2002) dan28 Weeks Later(2007). 28 Years Laterdibintangi olehJodie Comer, Aaron Taylor-Johnson, dan Ralph Fiennes. Film28 Years Laterjuga menandai kembalinya kerja sama Boyle, Garland, dan sinematografi Anthony Dod Mantle. Baca juga:Terungkap Sosok Zombie di Film 28 Years Later, Ternyata Bukan Cilliam Murphy Ketiganya merupakan otak di balik film pertama,28 Days Later. Cillian Murphy juga bertindak sebagai eksekutif produser. 28 Years Latersudah tayang di bioskop-bioskop di Indonesia. Baca juga:Film 28 Years Later Rilis Trailer: Ralph Fiennes Melawan Zombi, ke Mana Cillian Murphy? 28 tahun setelah wabah virus mematikan menghancurkan populasi, sejumlah penyintas berhasil membangun komunitas di sebuah pulau kecil yang dikarantina ketat, terhubung ke daratan utama melalui satu jalur pertahanan yang kuat. Jamie (Aaron Taylor-Johnson) dan Spike (Alfie Williams) mencoba keluar dari pertahanan dan memulai misi ke daratan utama. Mereka menemukan rahasia, keajaiban, dan kengerian yang telah mengubah tidak hanya yang terinfeksi, tetapi juga para penyintas lainnya.",Penulis tidak ditemukan,https://entertainment.kompas.com/read/2025/06/18/164343466/sinopsis-film-28-years-later-film-baru-danny-boyle,"Kompas.com- 18/06/2025, 16:43 WIB"
Bupati Sumenep Khawatir Tak Ada Lagi Pembuat Keris,"SUMENEP, KOMPAS.com-Bupati Sumenep, Achmad Fauzi Wongsojudo, mengungkapkan kekhawatirannya mengenai masa depan keris di daerahnya, Jawa Timur. Menurutnya, tanpa adanya regenerasi, tidak akan ada lagi individu yang mampu membuat keris dan pusaka seperti yang dilakukan para leluhur. “Kami khawatir menakala tidak ada regenerasi, tidak ada lagi yang mampu membuat keris atau pusaka seperti leluhur,” kata Fauzi saat menghadiri acara Jamasan Pusaka Keraton Sumenep dan Pusaka Leluhur di Desa Aeng Tongtong, Rabu (2/7/2025). Fauzi menambahkan, kegiatan jamasan pusaka ini menjadi momentum penting untuk melahirkangenerasi mudayang dapat meneruskan jejak para empu. Baca juga:Secarik Kisah Remaja Ponorogo yang Mendalami Budaya Keris, Ada Cerita Sejarah di Balik Sebilah Keris Ia menekankan bahwa pusaka bukan sekadar benda, melainkan simbol jati diri dan warisan budaya. Hingga saat ini, Kabupaten Sumenep dikenal sebagai daerah dengan jumlah empu terbanyak di dunia dan menjadi salah satu pusat keris paling bersejarah di Nusantara. Namun, tanpa adanya generasi penerus, warisan budaya ini dikhawatirkan hanya akan menjadi cerita pada masa depan. Oleh karena itu, pelibatan pelajar dan generasi muda dalam dunia perkerisan dianggap sangat penting untuk memberikan dampak positif terhadap keberlanjutan perajin keris. Baca juga:19 April Bakal Dicanangkan Sebagai Hari Keris Nasional “Oleh karena itu, pelajar atau generasi muda untuk mencintai keris supaya berdampak positif kepada regenerasi perajin keris, sehingga keberadaan empu (perajin keris) tetap bertahan hingga kapanpun,” imbuh dia. Fauzi juga menekankan pentingnya regenerasi empu sebagai langkah strategis dalam pelestarian budaya di tengah derasnya arus modernisasi. Ia menyebutkan bahwa tantangan utama saat ini adalah menjaga keberlanjutan produksi keris agar tidak terputus pada masa mendatang. ""Para empu, sesepuh, dan pelaku keris di Desa Aeng Tongtong terus menularkan keahlian mereka kepada generasi muda untuk menjaga tradisi leluhur,"" harap bupati.",Penulis tidak ditemukan,https://surabaya.kompas.com/read/2025/07/03/191758278/bupati-sumenep-khawatir-tak-ada-lagi-pembuat-keris,"Kompas.com- 03/07/2025, 19:17 WIB"
