Title,FullText,Author,Url,Date
"Terungkap Peran Genting Qatar Bantu Gencatan Iran-Israel, Tak Hanya AS","IrandanIsraelsepakat gencatan senjata pada Selasa (24/6) usai berperang selama 12 hari hingga memicu kekhawatiran Perang Dunia III pecah usai Amerika Serikat ikut-ikutan gempur Teheran. Sebelum sepakat gencatan, Iran meluncurkan serangan balik ke pangkalan Amerika Serikat terbesar di Timur Tengah, Al Udeid, di Qatar. Qatar murka dan mengecam Iran. Mereka menyebut punya hak untuk membalas tapi di saat yang menyerukan deeskalasi. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Iran mengambil tindakan tersebut sebagai respons usai Amerika Serikat campur tangan dalam perang untuk membantu Israel menghancurkan situs nuklir mereka. Tak lama setelah itu, Presiden Donald Trump sesumbar ke dunia Iran-Israel akan gencatan senjata dan mengakhiri pertempuran. Pernyataan Trump seolah ingin menunjukkan peran AS dalam perang sekaligus sebagai mediator. Namun, pencapaian gencatan Iran-Israel juga ada campur tangan Qatar. Qatar membantu menengahi gencatan senjata, terlibat diam-diam dengan sekutu Israel di Amerika dan dengan pemerintah Iran di belakang layar. Tiga diplomat yang mengetahui masalah itu mengatakan Qatar melakukan intervensi ke pemerintahan Iran atas nama AS, demikian dikutipNew York Times. Mereka juga mengatakan Trump memberi tahu emir Qatar bahwa Israel sepakat gencatan senjata yang diusulkan AS. Ketiga diplomat itu lantas mengatakan politikus Republik itu meminta Doha mengajak Iran bergabung dengan proposal tersebut. Salah satu pejabat Gedung Putih bahkan mengatakan emir Qatar punya peran penting dalam gencatan senjata. Beberapa pengamat menyadari sikap Qatar dari mulai mengecam, menyerukan deeskalasi, hingga memanggil duta besar. Mantan duta besar Inggris untuk Qatar, Nicholas Hopton menilai sikap Qatar dari membela hak ke mediator menunjukkan sikap koreografi. Direktur Program Timur Tengah dan Afrika Utara di Chatham House punya sebutan sendiri untuk menggambarkan karakter Qatar. ""Apa yang terjadi menunjukkan Qatar dapat menerima pukulan namun tetap bersikap pragmatis,"" Qatar menyadari pangkalan AS di negaranya akan jadi sasaran Iran. Wakil Kepala Staf untuk Operasi Gabungan Mayjen Shayek Misfer Al Hajri menyebut serangan ke Al Udeid sudah direncanakan dan mayoritas rudal berhasil dicegat. Qatar telah menjalin hubungan yang lebih dekat dengan Iran dibanding sebagian besar negara Teluk Persia lain. Qatar juga telah memainkan peran utama dalam memediasi Israel dan Hamas sejak agresi pemerintahan Benjamin Netanyahu. Jik menyerang negara Teluk Persia lain, Iran mungkin akan memasuki wilayah yang lebih rumit. Markas besar Armada ke-5 Angkatan Laut AS di Bahrain dan instalasi minyak Arab Saudi juga bisa menjadi sasaran. Namun, hubungan diplomatik Iran dengan dua negara Teluk Persia lainnya masih baru dan relatif goyah.",Penulis tidak ditemukan,https://www.cnnindonesia.com/internasional/20250625101857-120-1243588/terungkap-peran-genting-qatar-bantu-gencatan-iran-israel-tak-hanya-as,2025/06/25 11:00:00
Ngeri Orang Tak Dikenal Pukul Kepala Bocah WNI Pakai Botol Wine,"Seorang tak dikenal dilaporkan memukul anak berusia 5 tahun asal Indonesia menggunakan botol wine saat berlibur keSingapurapada pekan lalu. Anak tersebut mengalami luka di bagian kepala dan memicu perkelahian orang tua korban dengan pelaku. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT DikutipChannel NewsAsia (CNA)pada Selasa (25/6), kejadian tersebut berlangsung di Haji Lane, Kampong Glam. Ketika itu, orang tua korban sedang membeli kopi lalu ke masjid menunggu salat Jumat. Tiba-tiba orang tak dikenal mendekat dan memukul kepala sang bocah menggunakan botol wine atau bir. Media lokal Singapura memberitakan bocah itu langsung muntah imbas kejadian tersebut. Pelaku tertawa lebar usai melangsungkan aksinya. Dia dan orang tua korban lalu terlibat perkelahian. Pelaku bahkan sempat berusaha mengeluarkan pisau, tetapi berhasil dibekuk petugas. Sementara itu, staf kafe berusaha memberi pertolongan pertama dan memanggil ambulans. Sekitar 15 menit usai insiden, ambulans tiba dan mereka bergegas ke rumah sakit. Ibu korban, Winda, terkejut dengan apa yang terjadi kepada anaknya. ""Saya yakin Singapura adalah negara yang aman, itulah mengapa sulit bagi kami untuk menerima apa yang terjadi,"" ungkap Winda. Dalam dokumen pengadilan, pelaku diketahui bernama Xu Chaoyu, warga China berusia 26 tahun. Dia didakwa membawa pisau dapur sepanjang 30cm di tempat umum dan melebihi izin tinggal (overstayer). Namun, belum diketahui hukuman apa yang mengintainya setelah perbuatan yang dia lakukan.",Penulis tidak ditemukan,https://www.cnnindonesia.com/internasional/20250625083215-106-1243554/ngeri-orang-tak-dikenal-pukul-kepala-bocah-wni-pakai-botol-wine,2025/06/25 09:30:00
KPK Jadwalkan Periksa Dirut PT Pintu Kemana Saja di Kasus ASDP,"Komisi Pemberantasan Korupsi (KPK) menjadwalkan pemeriksaan terhadap Direktur Utama PT Pintu Kemana Saja Andrew Pascalis Adjiputro pada hari ini, Rabu (25/6). Andrew akan diperiksa sebagai saksi dalam kasus dugaan korupsi terkait proses kerja sama usaha (KSU) dan akuisisi PT Jembatan Nusantara oleh PT ASDP Indonesia Ferry (Persero) Tahun 2019-2022. ""Pemeriksaan dilakukan di Gedung Merah Putih KPK atas APA,"" ujar Juru Bicara KPK Budi Prasetyo melalui keterangan tertulis, Rabu (25/6). ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Belum diketahui keterlibatan Andrew dalam kasus ini sehingga harus dilakukan pemeriksaan. KPK biasanya akan menyampaikan itu setelah menyelesaikan pemeriksaan. Hingga saat ini belum ada pernyataan dari PT Pintu Kemana Saja terkait pernyataan KPK ini. Dilansir dari laman resminya, PT Pintu Kemana Saja- dikenal dengan nama dagang PINTU- adalah perusahaan Pedagang Aset Keuangan Digital yang berizin dan diawasi oleh Otoritas Jasa Keuangan. Perusahaan yang berlokasi di Trinity Tower Lantai 46, Jalan H R Rasuna Said Kav C22, Block IIB, Karet Kuningan, Setiabudi, ini merupakan anggota PT Central Finansial X (CFX) dan PT Kliring Komoditi Indonesia (KKI). Dalam proses penyidikan berjalan, KPK baru saja menyita lima kendaraan mewah yang terdiri dari Lexus 2 unit, Maybach 1 unit, Alphard 1 unit, dan Xpander 1 unit. Selain itu juga ada senjata api laras pendek dan panjang kaliber 32, serta tanda penyitaan terhadap rumah dan bidang tanah yang berlokasi di Pondok Indah, Jakarta Selatan. Baru-baru ini, KPK membantarkan penahanan Pemilik PT Jembatan Nusantara Group bernama Adjie selaku tersangka. Pembantaran penahanan itu dilakukan setelah penyidik selesai memeriksa Adjie pada Rabu (11/6) petang. Dalam kasus ini,KPKtelah menetapkan empat orang sebagai tersangka. Terdiri dari satu pihak swasta dan tiga lainnya merupakan pegawai PTASDP. Para tersangka sudah dicegah ke luar negeri. Empat tersangka dimaksud ialah Pemilik PT Jembatan Nusantara Group bernama Adjie; Direktur Utama PTASDP Ira Puspadewi; Direktur Perencanaan dan Pengembangan PT ASDP periode Juni 2020-sekarang Harry Muhammad Adhi Caksono; dan Direktur Komersial dan Pelayanan PT ASDP Muhammad Yusuf Hadi. Mereka telah mengajukan permohonan Praperadilan ke Pengadilan Negeri (PN) Jakarta Selatan untuk melawan KPK. Namun, permohonan Praperadilan mereka tidak dapat diterima hakim tunggal. Proses akuisisi PT Jembatan Nusantara oleh PT ASDP diduga ada kejanggalan. Dilansir dari sejumlah pemberitaan media massa, PT ASDP membeli PT Jembatan Nusantara pada Februari 2022 lalu dengan nilai mencapai Rp1,3 triliun. Dengan kondisi itu, PT ASDP menguasai 100 persen saham PT Jembatan Nusantara berikut 53 kapal yang dikelola. ",Penulis tidak ditemukan,https://www.cnnindonesia.com/nasional/20250625122635-12-1243636/kpk-jadwalkan-periksa-dirut-pt-pintu-kemana-saja-di-kasus-asdp,2025/06/25 12:30:57
Inggris Mau Beli Jet Pengangkut Bom Atom hingga Tambah Bom Nuklir,"Inggrisakan mengoperasikan jet tempur yang mampu membawa senjatanukliruntuk mendukung misi nuklir Aliansi Pakta Pertahanan Negara Atlantik Utara (NATO). Kantor Perdana Menteri Keir Starmer memaparkan Inggris akan membeli 12 unit jet tempur F-35A yang mampu membawa senjata nuklir. Hal itu dilakukan sebagai upaya London memperluas arsenal pencegah (deterrence) Inggris yang saat ini hanya terbatas pada rudal yang diluncurkan dari kapal selam. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Jet F-35 dengan kemampuan ganda ini akan menandai era baru bagi Angkatan Udara Kerajaan Inggris yang terdepan di dunia dan menjadi penangkal terhadap ancaman musuh yang mengancam Inggris dan sekutu-sekutunya,"" ujar Starmer dalam pernyataan pada Selasa (24/6). Pada Juni lalu, Inggris juga mengumumkan akan membangun hingga 12 kapal selam serang baru dan enam pabrik amunisi sebagai bagian dari upaya memperkuat kembali kemampuan pertahanan dalam menghadapi ""ancaman"", khususnya dari Rusia. Kapal selam bertenaga nuklir tersebut akan dipersenjatai dengan senjata konvensional dan menjadi bagian dari aliansi militer AUKUS antara Inggris, AS, dan Australia. DikutipAFP, Starmer juga mengonfirmasi bahwa London akan mengalokasikan dana sebesar £15 miliar (sekitar Rp405 triliun) untuk program pengembangan hulu ledak nuklirnya. Dalam pernyataan yang sama, Sekretaris Jenderal NATO, Mark Rutte, sangat menyambut baik pengumuman hari ini. Rutte menyebutnya sebagai ""kontribusi kuat lainnya dari Inggris untuk NATO."" Downing Street menggambarkan langkah ini sebagai ""penguatan terbesar terhadap postur nuklir Inggris dalam satu generasi"" dan menambahkan bahwa Starmer akan mengumumkan rencana ini secara resmi dalam KTT NATO yang akan berlangsung hari ini, Rabu (25/6). Sejak berakhirnya Perang Dingin, sistem deterrence nuklir Inggris dalam aliansi Atlantik hanya mengandalkan rudal yang diluncurkan dari kapal selam Angkatan Laut Kerajaan Inggris. Heloise Fayet, pakar nuklir dari Institut Hubungan Internasional Prancis (Ifri), menilai pengumuman ini mencerminkan ""renuklirisasi Eropa yang terus berlanjut."" Padahal, di satu sisi, Amerika Serikat dan sekutu tengah berupaya melucuti senjata nuklir Iran sepenuhnya hingga Teheran terlibat perang dengan Israel selama 12 hari sejak 13 Juni lalu. Selain itu, Fayet menuturkan, langkah Inggris ini juga menunjukkan kebutuhan baru akan senjata nuklir, serta penguatan strategi pencegahan NATO dalam menghadapi musuh, yaitu Rusia. F-35A buatan perusahaan AS Lockheed Martin merupakan varian dari F-35B yang sudah digunakan oleh Inggris. Namun, kali ini Inggris memboyong belasan jet tempur canggih itu dengan kemampuan membawa hulu ledak nuklir selain senjata konvensional. DikutipAFP, akuisisi ini sudah lama diminta oleh Angkatan Udara Kerajaan Inggris. Jet-jet tempur tersebut nantinya akan ditempatkan di Pangkalan Udara Marham di wilayah timur Inggris. Menteri Pertahanan Inggris, John Healey, memperingatkan Inggris kini menghadapi ""risiko nuklir baru, seiring negara-negara lain meningkatkan, memodernisasi, dan memperluas arsenal nuklir mereka."" Karena itu, menurut Healey, perlu bagi Inggris untuk memodernisasi nuklir deterrence-nya. Saat ini, tujuh negara anggota NATO termasuk AS, Jerman, dan Italia sudah memiliki pesawat tempur berkekuatan ganda yang ditempatkan di tanah Eropa. Pesawat-pesawat ini bisa membawa hulu ledak nuklir B61 buatan AS, jenis yang juga akan digunakan oleh Inggris. ",Penulis tidak ditemukan,https://www.cnnindonesia.com/internasional/20250625120257-134-1243629/inggris-mau-beli-jet-pengangkut-bom-atom-hingga-tambah-bom-nuklir,2025/06/25 12:45:00
Ketua MPR Belum Terima Surat Usul Pemakzulan Gibran,"Ketua MPR, Ahmad Muzani mengakui hingga saat ini belum ada diskusi di internal pimpinan lembaganya terkait surat usulan Forum Purnawirawan TNI yang mendesakpemakzulanWakil Presiden (Wapres)Gibran Rakabuming. ""Belum barangkali. Entah ada atau sudah ada, saya belum tahu,"" kata Muzani di kompleks parlemen, Selasa (25/6). Dia selain itu juga mengaku belum melihat langsung surat tersebut. Menurut Muzani, dia belum menerima laporan dari Sekretariat Jenderal (Setjen) MPR sejak surat itu dikirim 6 Juni lalu. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Muzani mengatakan dirinya baru kembali usai masa reses anggota dewan sejak akhir Mei atau sebelum surat itu dikirim ke Setjen MPR. ""Teman-teman sekretariat belum melaporkan. Saya juga belum menerangkan, karena saya baru masuk setelah reses hari ini,"" kata Muzani. Sebelumnya, Wakil Ketua DPR Sufmi Dasco Ahmad juga mengatakan Surat Forum Purnawirawan TNI masih berada di Setjen DPR sejak dikirim di awal masa reses anggota dewan awal Juni lalu. Dia bilang surat tersebut belum dikirim ke pimpinan DPR. Namun, Dasco mengatakan surat itu akan dibahas dalam rapat pimpinan (Rapim) dan badan musyawarah (Bamus) DPR dalam waktu dekat. ""Biasanya kalau dikirim itu akan dibahas di Rapat Pimpinan Bamus yang sesuai mekanisme, yang baru akan dilakukan mungkin besok atau pekan depan,"" katanya, Selasa (24/6). ",Penulis tidak ditemukan,https://www.cnnindonesia.com/nasional/20250625141618-32-1243703/ketua-mpr-belum-terima-surat-usul-pemakzulan-gibran,2025/06/25 16:00:06
FOTO: Warga Iran Rayakan Kemenangan atas Israel dalam Perang 12 Hari,,AFP,https://www.cnnindonesia.com/internasional/20250625134714-122-1243674/foto-warga-iran-rayakan-kemenangan-atas-israel-dalam-perang-12-hari,2025/06/25 15:43:29
Kapolri Mutasi Kepala BNPT hingga Ketua KPK dalam Rangka Pensiun,"KapolriJenderal Listyo Sigit Prabowo melakukanmutasiterhadap sejumlah Perwira Tinggi (pati) Polri yang telah memasuki masa pensiun. Mutasi itu tertuang dalam Surat Telegram Kapolri nomor ST/1421/VI/KEP./2025 tertanggal 24 Juni 2025 yang ditandatangani oleh As SDM Polri Irjen Anwar. Melalui mutasi tersebut setidaknya ada empat Komjen yang dimutasi oleh Kapolri dalam rangka persiapan pensiun. Salah satunya merupakan Komjen Setyo Budiyanto yang saat ini menjabat sebagai Ketua KPK. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Setyo dimutasi sebagai Pati Itwasum Polri. Selain itu, Sigit juga memutasi Komjen Eddy Hartono selaku Kepala BNPT menjadi Pati Densus 88 Antiteror Polri. Kemudian Kapolri memutasi Komjen Pudji Prasetijanto Hadi yang menjabat selaku Sekjen Kementerian ATR/BPN sebagai Pati Bareskrim Polri. Selanjutnya Sigit juga memutasi Komjen Lotharia Latif yang menjabat selaku Irjen Kementerian Kelautan dan Perikanan sebagai Pati Bareskrim Polri. Dalam mutasi yang sama, Kapolri juga merotasi posisi Wakapolda Sulbar Brigjen Rachmat Pamudji sebagai Kasespimen Sespim Lemdiklat Polri. Posisi Wakapolda Sulbar kemudian akan diisi oleh Brigjen Hari Santoso. Selanjutnya Sigit merotasi posisi Kapolres Metro Jakarta Timur dan Kapolres Metro Jakarta Selatan. Posisi Kapolres Metro Jakarta Selatan yang diisi oleh Kombes Ade Rahmat Idnal akan diganti oleh Kombes Nicolas Ary Lilipaly. Sementara Kombes Ade Rahmat Idnal mendapat promosi jabatan menjadi Widyaiswara Kepolisian Utama TK. II Sespim Lemdiklat Polri. Sedangkan untuk posisi Kapolres Metro Jakarta Timur yang ditinggalkan Lilipaly akan digantikan oleh Kombes Alfian Nurrizal yang sebelumnya menjadi Analis Kebijakan Madya Pamobvit Baharkam Polri. ",Penulis tidak ditemukan,https://www.cnnindonesia.com/nasional/20250625092851-12-1243565/kapolri-mutasi-kepala-bnpt-hingga-ketua-kpk-dalam-rangka-pensiun,2025/06/25 09:59:23
Mutasi Polri: Eks Kapolresta Cilacap Jadi Ajudan Wapres Gibran,"KapolriJenderal Listyo Sigit Prabowo merotasi Kombes Ruruh Wicaksono sebagai ajudan Polri untuk Wakil Presiden (Wapres)Gibran Rakabuming Raka. Mutasi itu tertuang dalam Surat Telegram Kapolri nomor ST/1422/VI/KEP./2025 tertanggal 24 Juni 2025 yang ditandatangani oleh As SDM Polri Irjen Anwar. Melalui mutasi itu, Kombes Ruruh yang menjabat sebagai Kapolresta Cilacap Polda Jawa Tengah dipindah menjadi Perwira Menengah (Pamen) SSDM. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Ruruh kemudian ditugaskan di Sekretaris Militer Presiden sebagai ajudan Wapres. Sementara jabatan Kapolresta Cilacap yang kosong akan diisi oleh Kombes Budi Adhy Buono yang menjabat sebagai Itwasda Polda Jateng. Dalam mutasi yang sama, Kapolri juga merotasi posisi Wakapolda Sulbar Brigjen Rachmat Pamudji sebagai Kasespimen Sespim Lemdiklat Polri. Posisi Wakapolda Sulbar kemudian akan diisi oleh Brigjen Hari Santoso. Selanjutnya Sigit merotasi posisi Kapolres Metro Jakarta Timur dan Kapolres Metro Jakarta Selatan. Posisi Kapolres Metro Jakarta Selatan yang diisi oleh Kombes Ade Rahmat Idnal akan diganti oleh Kombes Nicolas Ary Lilipaly. Sementara Kombes Ade Rahmat Idnal mendapat promosi jabatan menjadi Widyaiswara Kepolisian Utama TK. II Sespim Lemdiklat Polri. Sedangkan posisi Kapolres Metro Jakarta Timur yang ditinggalkan Lilipaly akan diisi Kombes Alfian Nurrizal yang sebelumnya menjadi Analis Kebijakan Madya Pamobvit Baharkam Polri. ",Penulis tidak ditemukan,https://www.cnnindonesia.com/nasional/20250625095215-12-1243583/mutasi-polri-eks-kapolresta-cilacap-jadi-ajudan-wapres-gibran,2025/06/25 10:18:50
"Pakar Sentil Rencana Retret Sekda ala Prabowo, Singgung Efisiensi","Direktur Eksekutif Center for Indonesian Development Policy, Cusdiawan mengkritik rencana pemerintah Prabowo Subianto untuk menggelarretretbagi para sekretaris daerah (sekda) di Akademi Militer (Akmil) Magelang. Menurutnya, rencana itu menunjukkan paradoks dari pemerintahan Prabowo yang di satu sisi banyak membicarakan efisiensi, tapi pada sisi lain seolah disibukkan dengan teatrikal seremonial. Ia berpendapat retret yang mengumpulkan kepala daerah saja sudah lebih dari cukup, bahkan perlu evaluasi kritis. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Dalam pelaksanaan retret kepala daerah sebelumnya misalnya, sejauh manaoutputyang dihasilkan mampu mendorong kinerja pemerintahan daerah terutama dalam kaitannya dengan desentralisasi,"" kata Cusdiawan saat dihubungi, Rabu (25/6). Dosen Ilmu Pemerintahan Universitas Pamulang ini juga menyoroti rencana gelaran retret di Akmil. Ia mempertanyakan apakah pemilihan lokasi dan menguatnya simbolisasi militerisme merupakan bagian dari pesan yang ingin dimainkan pemerintah. ""Apakah bagian dari 'pesan' yang coba dimainkan oleh elite pemerintahan hari ini bahwa militerisasi di ruang sipil akan semakin menguat termasuk dalam pemerintahan maupun birokrasi? Dan kecenderungan watak kepemimpinan yang akan berlangsung bercorak militeristik?"" katanya. Ia mengatakan kecenderungan militerisasi di ruang sipil sejalan dengan fenomena lain, seperti UU TNI. Cusdiawan mengingatkan dalam demokrasi harus ada batas antara sipil dengan militer, dan gaya kepemimpinan sipil dengan militer memang harus berbeda. ""Jadi, jika dugaan ini benar, tentu akan membahayakan bagi demokrasi. Sebab itu, dalam hemat saya, isu retret sekda ini menyangkut hal yang lebih luas dan tidak sekedar soal inefesiensi anggaran, tetapi juga keberlangsungan demokrasi kita,"" ujarnya.Menteri Dalam Negeri Tito Karnavian sebelumnya mengungkap rencana retret untuk para sekda. Pemerintah diketahui juga tengah menggelar retreat kepala daerah gelombang 2 di IPDN, Jawa Barat. ""Nanti akan ada retret untuk para sekda. Bapak Presiden sudah memberikan arahan pada saya retret untuk sekda provinsi dan kabupaten/kota di Magelang dan para sekda ini ASN atau birokrat yang paling senior,"" kata Tito, Senin (23/6). ",Penulis tidak ditemukan,https://www.cnnindonesia.com/nasional/20250625101130-32-1243586/pakar-sentil-rencana-retret-sekda-ala-prabowo-singgung-efisiensi,2025/06/25 10:30:06
Sidang Kasus Kekerasan Seksual Eks Kapolres Ngada Digelar Pekan Depan,"Sidang kasus kekerasan seksual terhadap anak di bawah umur dengan terdakwa eks KapolresNgada, AKBP Fajar Widyadharma Lukman Sumaatmaja dijadwalkan berlangsung mulai pekan depan. Hal tersebut disampaikan Kepala Seksi Penerangan Hukum (Kasi Penkum) Kejaksaan Tinggi NTT, Raka Putra Dharma dalam keterangannya Rabu (25/6). Menurut Raka, Jaksa Penuntut Umum (JPU) pada Kejaksaan Negeri Kota Kupang telah mendapat surat penetapan dari Panitera Pengadilan Negeri Kupang Kelas 1A tentang jadwal sidang terdakwa AKBP Fajar. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Sesuai surat penetapan (jadwal sidang) dari PN Negeri Kupang menetapkan sidang Fajar akan dilaksanakan pada Hari Senin, 30 Juni 2025 jam 11.00 Wita,"" ujar Raka. Disampaikan Raka dalam surat penetapan jadwal sidang juga PN Kupang diperintahkan agar JPU pada Kejari Kota Kupang untuk menghadapkan terdakwa eks Kapolres Ngada AKBP Fajar, alat bukti dan barang bukti pada sidang tersebut yang tercantum dalam surat penetapan Nomor 75/Pid.Sus/2025/PN Kpg tertanggal 23 Juni 2025. Disampaikan Raka untuk penetapan jadwal sidang terdakwa lainnya yakni SHDR alias Stefani alias Fani atau perempuan F dalam kasus kekerasan seksual bersama Fajar juga akan dilaksanakan Senin pekan depan. ""Sama, kalau Fani juga penetapan sidang Senin (30/6) tapi jam berbeda yakni jam 9 pagi,"" jelas Raka. Jadwal sidang Fani sesuai pemberitahuan dalam surat penetapan Nomor 76/Pid.Sus/2025/ PN Kpg tanggal 23 Juni 2025 yang disampaikan Pengadilan Negeri Kupang Kelas IA menentukan sidang pada Senin 30 Juni 2025 jam 09.00 Wita. Dalam surat penetapan sidang juga penuntut umum diperintahkan untuk menghadirkan terdakwa SHDR alias Stefani alias Fani atau perempuan F, alat bukti dan barang bukti. ""Memerintahkan Penuntut Umum pada Kejaksaan Negeri Kupang untuk menghadapkan Terdakwa, alat bukti dan barang bukti,"" kata Raka menyebut isi surat penetapan. Eks Kapolres Ngada, AKBP Fajar Widyadharma Lukman Sumaatmaja diduga terlibat dalam kasus kekerasan seksual terhadap tiga anak yakni IBS (6), WAF (13) dan MAN (16). Fajar juga diduga terlibat kasus dugaan penyalahgunaan narkoba karena dari hasil tes urine di Divisi Propam Mabes Polri dinyatakan positif. AKBP. Fajar lalu ditangkap tim gabungan Propam Mabes Polri dan dan Polda NTT pada 20 Februari 2025 lalu. Kasus kekerasan seksual tersebut diungkap pertama kali oleh Polisi Federal Australia (AFP) setelah video kekerasan seksual yang dilakukan AKBP. Fajar terhadap anak berusia 6 tahun beredar di situs porno asing darkweb. AFP kemudian melaporkan temuan tersebut ke Divisi Hubungan Internasional Mabes Polri dan diteruskan ke Polda NTT. Dari hasil penyelidikan Ditreskrimum Polda NTT juga terungkap kekerasan seksual yang dilakukan AKBP. Fajar terhadap anak berusia 6 tahun terjadi pada 11 Juni 2024 lalu di Hotel Kristal Kupang. Dan untuk kasus kekerasan seksual terhadap anak lainnya dilakukan dalam kurun waktu tujuh bulan yakni dari Juni 2024 hingga Januari 2025 di dua Hotel di Kota Kupang. Anak berusia 6 tahun itu dibawa oleh perempuan berinisial SHDR alias Stefani alias Fani atau F berusia 20 tahun. F juga menjadi korban kekerasan seksual dari AKBP Fajar sekaligus menjadi tersangka dalam kasus tersebut. Perempuan F membawa anak berusia 6 tahun atas permintaan AKBP Fajar. Anak tersebut lalu mendapat kekerasan seksual. Saat melakukan pencabulan, AKBP Fajar juga merekam video menggunakan ponselnya dan video tersebut diunggah ke situs porno asing. Dari jasa membawa anak berusia 6 tahun ke AKBP Fajar, perempuan F mendapat imbalan sebesar Rp. 3 juta dari AKBP. Fajar. F pun ditetapkan sebagai tersangka bersama AKBP. Fajar. Dalam putusan etik oleh Komisi Kode Etik Polri, perwira menengah polri itu dipecat dari dinas kepolisian atau divonis Pemberhentian Tidak dengan Hormat (PTDH). Atas putusan pemecatan tersebut, AKBP. Fajar kemudian mengajukan banding namun bandingnya ditolak. ",Penulis tidak ditemukan,https://www.cnnindonesia.com/nasional/20250625104717-12-1243596/sidang-kasus-kekerasan-seksual-eks-kapolres-ngada-digelar-pekan-depan,2025/06/25 10:52:34
