Title,FullText,Author,Url,Date
[SALAH] Ada Razia Berujung Kuras Bensin Usai Kasus Pertamax Oplosan,"Akun Instagram “beritakita_id” pada Kamis (27/04/2025) mengunggahvideo[arsip] reel berisi klaim yang menyebut tilang kuras bensin pada tahun 2025 yang dihubungkan dengan kasus pertamax oplosan. Berikut narasi lengkapnya: “Setalah Oplos Prtamax Terbitlah Kuras Bensin.” Per Rabu (30/04/2025), konten tersebut sudah mendapatkan lebih dari 19.700 tanda suka dan telah dibagikan ulang 3.882 kali. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri kebenaran klaim dengan memasukkan tangkapan layar konten unggahan dari akun instagramberitakita_idke mesin pencarian Google Lens. Hasilnya, ditemukan gambar serupa dalam pemberitaandetik.com“Polisi Ungkap Alasan Tilang-Kuras Bensin Moge Sunmori di BSD yang Viral”. Dalam pemberitaan yang tayang Januari 2022 itu, pihak Polres Tangerang Selatan, menyampaikan bahwa langkah menguras bensin dari motor pengendara dilakukan sebagai upaya untuk memberikan efek jera, khususnya bagi mereka yang terbukti melakukan aksi kebut-kebutan saat kegiatan sunmori. Dijelaskan, dokumentasi yang viral tersebut merupakan video lama, terjadi sekitar Agustus 2021. Operasi saat sunmori dilakukan karena sebelumnya terjadi dua kecelakaan dalam dua minggu berturut-turut yang menyebabkan korban meninggal dunia akibat aksi kebut-kebutan. Sementara itu, masalah tentang pertamax oplosan muncul pada Februari 2025, salah satunya diungkap dalam pemberitaankompas.com“Beda Kejagung dan Pertamina soal Dugaan Pertalite Dioplos Jadi Pertamax” yang tayang Kamis (27/02/2025). Kesimpulan Unggahan berisi klaim “ada razia berujung kuras bensin” merupakan konten yang menyesatkan (misleading content). (Ditulis oleh Laurensius Raka)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/04/30/salah-ada-razia-berujung-kuras-bensin-usai-kasus-pertamax-oplosan/,"April 30, 2025"
[SALAH] Pesan Berantai “Perempuan Amerika Serikat Semua Tanpa Baju Protes Rencana Pemerintah AS Stop Impor Baju dari China”,"Pada Senin (7/4/2025) beredar pesan berantai (broadcast) di sebuah grup WhatsApp (arsip cadangan) yang membagikan sebuah video dengan narasi: “Pemerintah AS rencana stop import baju dari China, “Tidak ada baju murah Dari china kami pakai apa?” perempuan AS lepas baju,semua tanpa baju , protes pemerintah” Pemeriksaan Fakta Tim Pemeriksa Fakta MAFINDO (TurnBackHoax) menelusuri kebenaran klaim menggunakan perkakas(tools)pencarian gambar Google Images, hasilnya ditemukan artikel periksa fakta dari MyGoPen, organisasi pemeriksa fakta dari Taiwan, yang terbit pada tahun 2019 lalu Kamis (4/7/2019) yang saat itu mengklarifikasi klaim yang serupa berkaitan dengan kebijakan Donald Trump . Faktanya, tidak berkaitan dengan rencana menghentikan impor baju dari Tiongkok. Video yang dibagikan adalah dokumentasi yang direkam di acara seni instalasi oleh seniman Spencer Tunick di Museum Seni Kontemporer Cleveland pada tahun 2004 lalu. Pemeriksaan silang (cross check) ke situs Spencer Tunick juga mengkoroborasi atau mendukung hasil pemeriksaan oleh MyGoPen, di salah satu segmen video yang disebarkan memperlihatkan bangunan yang sesuai dengan salah satu foto yang ditampilkan di situs di bagian “Installations / Selected Works 4” dengan deskripsi: “Ohio 4.1 (Museum of Contemporary Art Cleveland) 2004 Pigment print h: 48 x w: 60 in / h: 121.92 x w: 152.4 cm Edition of 6″. Kesimpulan Unggahan tersebut masuk ke kategori konten yang menyesatkan (misleading content), faktanya video yang dibagikan adalah dokumentasi yang direkam di acara seni instalasi oleh seniman Spencer Tunick di Museum Seni Kontemporer Cleveland pada tahun 2004 lalu.",Aribowo Sasmito,https://turnbackhoax.id/2025/04/17/salah-pesan-berantai-perempuan-amerika-serikat-semua-tanpa-baju-protes-rencana-pemerintah-as-stop-impor-baju-dari-china/,"April 17, 2025"
[PENIPUAN] Tautan “Pendaftaran Pemutihan Pinjaman Online”,"Akun Facebook “Indonesia Maju” pada Sabtu (2/5/2025) mengunggahtautan[arsip] disertai narasi: “KABAR GEMBIRA UNTUK KITA SEMUA.. OJK Resmikan Pemutihan Data Bagi Nasaba Pinjol Terutama Bagi Nasaba Gagal bayar Mulai 1 Mei 2025. Dengan Ini OJK Resmikan Cara Pemutihannya . Konsultasi Pinjol Dan Daftarkan Diri Kalian Sekarang Juga….!! 👇👇👇 https://daftarsekarang13[dot]upduc[dot]my[dot]id Ayo buruan….” Per Jumat (8/5/2025), unggahan disukai hampir 70 akun, dibagikan ulang 3 kali, serta menuai 11 komentar. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) mengakses tautan dalam unggahan Tautan tersebut tidak mengarah ke laman resmi Otoritas Jasa Keuangan (OJK)ojk.go.id, tetapi mengarahkan warganet untuk mendaftar melalui telegram dengan mengisi nama lengkap dan nomor telepon aktif. Penelusuran berlanjut dengan memasukkan kata kunci “pemutihan pinjaman online” ke kolom pencarian di laman resmi OJK. Tidak ditemukan informasi tentang program itu. TurnBackHoax kemudian mengecek akun Instagram resmi OJK “ojkindonesia”. OJK dalam salah satu unggahannya telah membantah adanya program itu. “OJK tidak pernah mengeluarkan pernyataan tentang pemutihan data pinjaman online. Hati-hati terhadap modus penipuan yang mengatasnamakan OJK. #CekDulu kebenaran informasi yang kamu terima ke Kontak OJK 157,” tulis OJK pada Sabtu (3/5/2025). Kesimpulan Unggahan berisi tautan “pendaftaran pemutihan pinjaman online” yang mengarah ke laman tak resmi itu merupakan konten palsu (fabricated content). (Ditulis oleh Vania)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/05/08/penipuan-tautan-pendaftaran-pemutihan-pinjaman-online/,"May 8, 2025"
[SALAH] Pernyataan Haris Azhar untuk Blokir Program Bocor Alus Tempo,"Akun X “Elviana Rizki Dewi” pada Selasa (18/3/2025) mengunggahfoto[arsip] berisikan kutipan dari aktivis HAM Haris Azhar sebagai berikut: “Bocor Alus Tempo didukung dana Dari MDIF George Soros. Segera Blokir Bocor Alus Tempo” Per Kamis (10/4/2025), unggahan tersebut telah dilihat lebih dari 300 kali. Pemeriksaan Fakta Disadur dari artikel Cek Faktakompas.com. Ketika ditelusuri, tidak ditemukan informasi kredibel Haris pernah melontarkan pernyataan untuk memblokir program “Bocor Alus Tempo”. Saat dikonfirmasi, Haris menegaskan bahwa narasi yang ada di dalam poster tersebut adalah hoaks. Haris mengungkapkan, ia tidak pernah mengeluarkan pernyataan untuk memblokir program “Bocor Alus Tempo” “Totally hoax. Gambar dan kutipan itu palsu, fitnah,” ujar Haris kepada Kompas.com, Jumat (21/3/2025). Kesimpulan Unggahan berisi kutipan pernyataan Haris Azhar untuk blokir program Bocor Alus Tempo merupakan konten yang menyesatkan (misleading content). (Ditulis oleh Vania)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/04/10/salah-pernyataan-haris-azhar-untuk-blokir-program-bocor-alus-tempo/,"April 10, 2025"
[PENIPUAN] Tautan “Pendaftaran Haji Gratis dari Kerajaan Arab Saudi”,"Akun Facebook “Program haji gratis 2025” pada Kamis (23/1/2025) membagikantautan[arsip] disertai narasi: “🕋UNDIAN HAJI GRATIS🕋 GRATIS!! TANPA DIPUNGUT BIAYA APAPUN. Selangkah menuju Baitullah ❤ Insyaallah sebentar lagi impian mu untuk datang menuju Baitullah akan segara terwujud. Yuk Daftarkan Diri Anda Siapa Tau Di Antara Kita Bisa Menang Undian Haji Gratis Langsung Daftar Ke Link” “UNDIAN HAJI 2025 tahun ini kerajaan arab saudi memberikan program haji gratis untuk 50 orang dari indonesia” Hingga Kamis (13/3/2025) unggahan tersebut sudah disukai oleh lebih 1.100 pengguna dan menuai 500-an komentar. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) memasukkan kata kunci “Program haji gratis dari Kerajaan Arab Saudi untuk 50 orang Indonesia” ke kolom pencarian Google. Hasil penelusuranmengarah ke pemberitaanantaranews.com“Kedubes Arab Saudi kembali berangkatkan 50 WNI umroh gratis” dan pemberitaantempo.co“50 WNI Pergi Haji Gratis, Diundang Raja Salman ke Arab Saudi”. Berdasarkan kedua pemberitaan tersebut, diketahui kalau Kerajaan Arab Saudi memang kerap memberangkatkan puluhan masyarakat Indonesia untuk menunaikan haji atau umrah. Namun, tidak ada informasi yang menyebutkan masyarakat harus mendaftar melalui tautan tertentu. TurnBackHoax menelusuri tautan yang dibagikan akun Facebook “Program haji gratis 2025” dan menemukan bahwa tautan tersebut hanya berisi formulir untuk mengisi nama, nomor telepon, serta kode OTP dari Telegram. Kesimpulan Unggahan berisi tautan “pendaftaran haji gratis dari Kerajaan Arab Saudi” merupakan konten palsu (fabricated content). (Ditulis oleh Moch. Marcellodiansyah)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/03/13/penipuan-tautan-pendaftaran-haji-gratis-dari-kerajaan-arab-saudi/,"March 13, 2025"
[SALAH]  Prosesi Pemindahan Jenazah Paus Fransiskus," Akun Facebook “Riz Ky” pada Jumat (22/4/2025) mengunggahvideo[arsip]yang menampilkan sekelompok orang yang mengangkat keranda besar disertai narasi: prosesi pemindahan jenazah Paus Fransiskus Per Selasa (29/4/2025) video itu sudah dilihat lebih dari 4.7 juta kali, disukai lebih dari 71 ribu kali, dibagikan ulang lebih dari 2 ribu kali dan 6 ribu komentar. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri kebenaran klaim dengan memasukkan kata kunci “prosesi pemindahan jenazah Paus Fransiskus” ke mesin pencari Google. Tidak ditemukan informasi dari laman berita kredibel atau akun resmi pemerintahan yang membenarkan klaim tersebut. TurnBackHoax kemudian menelusuri lebih lanjut dengan cara memasukkan potongan awal video lewat Google Lens. Diketahui video berasal dari momen prosesi Semana Santa (Pekan Suci) di Spanyol. Video diunggah oleh kanal Youtube AndySchif dengan judul video “El trono con La Virgen del Rocio en la Tribina de los Pobres”, yang diunggah pada (20/3/2012). Moment prosesi pemindahan jenazah Paus Fransiskus dapat dilihat pada kanal Youtube milik Kompas TV dengan judul video “Prosesi Penempatan Jenazah Paus Fransiskus ke Peti di Vatikan”, yang diunggah pada Selasa (22/4/2025). Kesimpulan Unggahan berisi narasi “prosesi pemindahan jenazah Paus Fransiskus” merupakan konten yang menyesatkan (misleading content). (Ditulis oleh Yudho Ardi)",Tim Kalimasada,https://turnbackhoax.id/2025/04/29/salah-prosesi-pemindahan-jenazah-paus-fransiskus/,"April 29, 2025"
[SALAH] Shin Tae-yong Kembali Pimpin Latihan Timnas Indonesia,"Kanal YouTube “Garuda Revolusi” pada Senin (24/3/2025) mengunggahvideo[arsip] berdurasi 8 menit 7 detik dengan narasi: “MANTAP!! STY PIMPIN LATIHAN TIMNAS PAGI INI GANTIKAN PATRICK KLUIVERT” Per Kamis (27/3/2025), konten tersebut sudah ditonton lebih dari 16 ribu kali. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menonton video tersebut dari awal hingga akhir. Diketahui, video tidak memberitakan kembalinya Shin Tae-yong (STY) sebagai pelatih Timnas Indonesia, melainkan mengenai Timnas Indonesia yang berlaga di Kualifikasi Piala Dunia 2026 zona Asia. TurnBackHoax kemudian menelusuri kebenaran narasi dengan memasukkan kata kunci “STY kembali melatih timnas” ke mesin pencarian Google. Penelusuran mengarah ke pemberitaaninews.id“Apakah Shin Tae-yong Kembali Melatih Timnas Indonesia? Terungkap Rencana Besar STY di Dunia Sepak Bola Tanah Air”. Dalam berita yang tayang Minggu (23/3/2025) itu, diketahui kalau tidak ada kepastian mengenai kembalinya STY sebagai pelatih. Namun, STY masih menunjukkan berbagai aktivitas dan komitmennya terhadap perkembangan sepak bola Indonesia, salah satunya dengan mendirikan STY Foundation untuk pengembangan sepak bola usia dini. Kesimpulan Unggahan berisi klaim “Shin Tae-yong kembali pimpin latihan Timnas Indonesia” merupakan konten palsu (fabricated content). (Ditulis oleh Ainayya)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/03/27/salah-shin-tae-yong-kembali-pimpin-latihan-timnas-indonesia/,"March 27, 2025"
[SALAH] Video “Mahasiswi Peserta Demo #IndonesiaGelap Takut Beasiswanya Dicabut”,"Akun TikTok “ara.ari98” pada Jumat (28/2/2025) membagikanvideo[arsip] disertai narasi: “mahasiswi pendemo Indonesia gelap, curhat saat di tangkap polisi Karena jadi provokator. Mahasiswi pendemo Indonesia gelap takut beasiswanya takut di cabut.” Hingga Minggu (16/3/2025) unggahan tersebut sudah disukai 12.000-an pengguna dan menuai hampir 10.000 komentar. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) pertama-tama menelusuri potongan gambar dari video tersebut dengan Yandex Image.Hasil penelusuranmengarah ke pemberitaantribunnews.com“Protes ke Heru Budi, Tangis Mahasiswi Ni Made Puspita Tahu KJMU Dicabut: Saya Yatim Piatu”. Dalam pemberitaan yang tayang Jumat (8/3/2024) itu, diketahui kalau konteks asli dokumentasi tersebut adalah momen mahasiswi bernama Ni Made Puspita Dewi usai bertemu dengan Heru Budi Hartono (Pj Gubernur DKI Jakarta kala itu) di Balai Kota. Dewi bersama sejumlah mahasiswa datang ke Balai Kota untuk menanyakan nasib bantuan pendidikan Kartu Jakarta Mahasiswa Unggul (KJMU) yang dicabut Heru Budi. Tidak ada kaitannya dengan aksi #IndonesiaGelap yang berlangsung pada akhir Februari 2025. Kesimpulan Unggahan video disertai klaim “ungkapan mahasiswi peserta demo #IndonesiaGelap takut beasiswanya dicabut” merupakan konten yang menyesatkan (misleading content). (Ditulis oleh Moch. Marcellodiansyah)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/03/16/salah-video-mahasiswi-peserta-demo-indonesiagelap-takut-beasiswanya-dicabut/,"March 16, 2025"
[SALAH] Video “Dokumentasi Gempa Myanmar di Area Pantai”,"Akun Facebook “Rahmat Alafasy” pada Senin (31/3/2025) mengunggahvideo[arsip] berdurasi 10 detik dengan narasi: “Penampakan gempa bumi Thailand Myanmar yg berada di pantai 😱” Per Jumat (11/4/2025), konten tersebut sudah ditonton lebih dari 22 ribu kali. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) mengunduh video tersebut dan menganalisisnya dengan alat pendeteksi AI, Hive Moderation. Diketahui, konten itu merupakan hasil rekayasa kecerdasan buatan (artificial intelligence/AI), probabilitas atau kemungkinannya mencapai 99,3 persen. TurnBackHoax kemudian menelusuri berita gempa Myanmar dengan memasukkan kata kunci “daerah terdampak gempa Myanmar” ke mesin pencarian Google. Penelusuran mengarah ke pemberitaancnbcindonesia.com“Fakta Gempa Dahsyat Myanmar-Thailand, Pakar Beri Peringatan Ini”. Dalam berita yang tayang Sabtu (29/4/2025), diketahui bahwa gempa kembar bermagnitudo 7,7 telah melanda Myanmar pada Jumat (28/3/2025). Gempa tersebut menyebabkan bangunan runtuh di lima kota besar dan kecil, sementara jalanan retak serta sebuah jembatan runtuh di Jalan Tol Yangon-Mandalay. Kesimpulan Unggahan video berisi klaim “dokumentasi gempa Myanmar di area pantai” merupakan konten palsu (fabricated content). (Ditulis oleh ‘Ainayya)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/04/11/salah-video-dokumentasi-gempa-myanmar-di-area-pantai/,"April 11, 2025"
[SALAH] Pesan Berantai “Buah Daun Kelor dan Soda untuk Obat Sakit Sendi”,"Pada Jumat (23/5/2025) beredar pesan berantai (broadcast) di WhatsApp (arsip cadangan) yang menyebarkan video dengan narasi: “Inilah gebrak’an baru dunia kedokteran dengan herbal asli Indonesia, semoga bermanfaat 👍🙏🙏” Pemeriksaan Fakta Tim Pemeriksa Fakta MAFINDO (TurnBackHoax) menelusuri kebenaran klaim menggunakan perkakas(tool)InVID WeVerify yang memfragmentasi video ke dalam bentuk gambar/foto untuk mencari bingkai utama (Keyframe), yang kemudian digunakan untuk melakukan pencarian gambar (image search). Karena hasil pencarian gambar menggunakan Google Lens tidak menemukan kecocokan, menghubungi Produser Lapangan CNN Indonesia Clarissa Aradhia melalui surel (email) didapatkan informasi bahwa video di segmen/bagian yang menampilkan Clarissa berasal dari video liputan korban kecelakaan Tol Ciawi pada bulan Februari lalu yang salah satunya ditayangkan di kanal YouTube CNN Indonesia. Untuk segmen Siti Fadilah Supari, gambar/foto di Keyframe #24 memberikan petunjuk yang setelah ditelusuri cocok dengan video “Jangan Berdagang Dengan Rakyat” yang diunggah pada Sabtu (18/1/2025) di kanal YouTube Siti Fadilah Supari Channel. Kesimpulan Unggahan tersebut masuk ke kategori konten yang dimanipulasi (manipulated content), faktanya video yang disebarkan adalah hasil manipulasi menggunakan Kecerdasan Buatan (AI: Artificial Intelligence) atauDeepfake.",Aribowo Sasmito,https://turnbackhoax.id/2025/05/28/salah-pesan-berantai-buah-daun-kelor-dan-soda-untuk-obat-sakit-sendi/,"May 28, 2025"
