Title,FullText,Author,Url,Date
[SALAH] Bobby Nasution Didiskualifikasi di Pilkada Sumatera Utara,"Beredarvideo[arsip] dari kanal YouTube “OPINI RAKYAT” berisi narasi: BOBY DI DISKUALIFIKASI ? ‪@OPINI_RAKYAT‬ BREAKING NEWS.! BOBY DI DISKUALIFIKASI? TERBUKTI CURANG GUNAKAN PARCOK Klaim diperkuat dengan sampul foto (thumbnail) yang menampilkan Bobby Nasution di ruang sidang. Sejak diunggah Sabtu (18/1/2025), video itu telah ditonton lebih dari 22 kali per Kamis (23/1/2025). Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri kebenaran klaim dengan memasukkan kata kunci “Bobby Nasution didiskualifikasi di Pilkada Sumatera Utara” ke mesin pencarian Google. Tidak ditemukan informasi atau pemberitaan kredibel yang membenarkan klaim. TurnBackHoax kemudian menelusuri sampul foto video lewat Google Lens. Diketahui, foto berasal dari momen Ketua MK Anwar Usman memimpin sidang perdana Perselisihan Hasil Pemilihan Umum (PHPU) sengketa Pilpres 2019 di Mahkamah Konstitusi, Jakarta, Jumat (14/6/2019). Pembuat konten yang disebarkan oleh kanal YouTube “OPINI RAKYAT” memanipulasi potret tersebut dengan menambahkan gambar Bobby Nasution. Gambar asli dimuat dalam situsantarafoto.com“SIDANG PERDANA SENGKETA PILPRES MK”. Video berdurasi 12 menit 27 detik tersebut hanya menampilkan cuplikan dari beberapa peristiwa berbeda yang tidak berkaitan. Narator dalam video membacakan ulang beritatempo.co“Fakta-fakta Sidang Gugatan Kemenangan Bobby Nasution di Pilkada Sumut” yang tayang Selasa (14/1/2025). Kesimpulan Video berisi narasi “Bobby Nasution didiskualifikasi di Pilkada Sumatera Utara” merupakan konten yang dimanipulasi (manipulated content). (Ditulis oleh Pekik Jalu Utomo)",Tim Kalimasada,https://turnbackhoax.id/2025/01/23/salah-bobby-nasution-didiskualifikasi-di-pilkada-sumatera-utara/,"January 23, 2025"
[SALAH] HMPV Sebabkan Kerusakan Otak,"Akun Instagram “natalie_situmorang” pada Minggu (5/1/2025) mengunggahvideo[arsip] berisi klaim yang menyebut Human Metapneumovirus (HMPV) merupakan skenario China dan menyebabkan kerusakan otak anak. “Skenario sudah jalan di china, penyebaran virus hmpv menyebabkan rusaknya otak pada anak, istilah medisnya peneomonia” Per Selasa (21/1/2025), konten tersebut telah disukai 5.793 orang dan 6.923 kali dibagikan. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) pertama-tama menelusuri kebenaran klaim dengan memasukkan kata kunci “gejala virus HMPV” ke mesin pencarian Google. Hasilnya, ditemukan artikel kesehatan darikompas.com“Fakta-fakta HMPV: Penemuan Kasus, Penularan, Gejala, Pencegahan, dan Pengobatan”. Artikel tersebut menjelaskan, HMPV menjadi perhatian global karena kemampuannya menyebabkan infeksi saluran pernapasan dengan tingkat keparahan yang bervariasi, mulai dari gejala ringan hingga serius. Biasanya, virus ini menimbulkan gejala mirip flu atau pilek. Tingkat keparahan penyakit akibat infeksi HMPV dipengaruhi oleh berbagai faktor, termasuk kondisi kesehatan individu yang terinfeksi. Berdasarkan artikelhalodoc.comyang telah ditinjau oleh dr. Fauzan Azhari Sp.PD, AIFO-K menyebutkan gejala Virus HMPV adalah: Pada individu yang lebih rentan Virus HMPV dapat berakibat: TurnBackHoax mengamati, klaim yang diunggah akun Instagram “natalie_situmorang” menyebut istilah medis kerusakan otak adalah pneumonia. Berdasarkan artikel kesehatanalodokter.comyang ditinjaudr. Pittaraselaku Medical Editor di Alodokter, pneumonia adalah peradangan paru-paru yang disebabkan oleh infeksi, bukan istilah medis dari kerusakan otak. Kesimpulan Unggahan berisi narasi “HMPV sebabkan kerusakan otak” merupakan konten yang menyesatkan (misleading content). (Ditulis oleh Laurensius Raka)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/01/21/salah-hmpv-sebabkan-kerusakan-otak/,"January 21, 2025"
"[SALAH] Respons Imun Artinya Keracunan, Antibodi Itu Antitoksin","Akun X “blue_berets7” pada Rabu (12/3/2025)mencuitkan[arsip] narasi berisi klaim tentang pengertian respons imun dan antibodi akibat vaksin. Berikut narasi lengkapnya: “Respons imun sebenarnya berarti orang tersebut keracunan. Carilah asal usul kata “antibody” itu artinya antitoksin. Respons imun adalah penutup untuk reaksi tubuh terhadap racun”. Per Kamis (20/03/2025), konten tersebut telah disukai 5 akun dan ditonton 204 kali. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri kebenaran klaim dengan memasukkan kata kunci “pengertian respons imun” ke mesin pencarian Google. Penelusuran teratas mengarah ke lamanstikes-notokusumo.ac.idyang berisi materi “Proses dan cara kerja respon imun” yang dibuat oleh Linda Widyarani, S.Kep., Ns., M.Kep. Berdasarkan materi tersebut, diketahui kalau respons imun adalah mekanisme pertahanan tubuh dalam melawan patogen, seperti: TurnBackHoax kemudian memasukkan kata kunci “Pengertian antibodi” ke mesin pencarian Google. Hasilnya, ditemukan artikelkompas.com“Pengertian Antibodi, Jenis, serta Fungsinya bagi Tubuh Manusia” yang tayang Desember 2023. Artikel tersebut mengutip lamanNational Human Genom Institute, isinya menjelaskan bahwa antibodi atau imunoglobulin adalah protein yang berfungsi melindungi tubuh dari zat asing yang berbahaya. Protein itu diproduksi oleh sistem kekebalan tubuh dan bekerja dengan mengenali serta menempel pada zat asing agar dapat dikeluarkan dari tubuh. Antibodi tersebar di berbagai bagian tubuh, seperti kulit, paru-paru, air mata, air liur, dan ASI, sehingga membantu melindungi tubuh dari infeksi. Sementara itu, dilansir dariidnmedis.com, antitoksin adalah obat pencegahan yang digunakan untuk mengobati penyakit, seperti tetanus yang disebabkan oleh racun. Kesimpulan Unggahan berisi klaim “respons imun artinya keracunan, antibodi itu antitoksin” merupakan konten yang menyesatkan (misleading content). (Ditulis oleh Laurensius Raka)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/03/20/salah-respons-imun-artinya-keracunan-antibodi-itu-antitoksin/,"March 20, 2025"
[SALAH] Prabowo Pecat Menteri KKP Sakti Wahyu Trenggono,"Kanal YouTube “Fenomena Fana” pada Jumat (24/1/2025) membagikanvideo[arsip] dengan judul dan sampul (thumbnail) berisi narasi: “GEGER DI KABINET! SAKTI TRENGGONO DIPECAT MENDADAK! PRABOWO PANGGIL SUSI PUDJIASTUTI KEMBALI?!” “SUSI MASUK KABINET!! SAKTI TRENGGONO DIPECAT MENDADAK?” Hingga Senin (10/2/2025) unggahan tersebut telah disukai oleh 6.000-an pengguna dan menuai hampir 3.000-an komentar. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) mengunjungi “Tentang KKP” dikkp.go.id(laman resmi Kementerian Kelautan dan Perikanan/KKP). Diketahui kalau Sakti Wahyu Trenggono masih menjabat sebagai Menteri KKP. Dari pengamatan TurnBackHoax usai menyimak video dari awal hingga akhir, narator dalam konten tersebut hanya menyampaikan opini tentang Sakti Wahyu Trenggono yang terancam dipecat Presiden Prabowo akibat adanya pagar laut di Tangerang, Banten. Disebutkan, Susi Pudjiastuti bakal menggantikan Sakti Wahyu Trenggono. Sebagai informasi,TurnBackHoaxpada Januari 2025 sudah mengupas klaim tentang Susi Pudjiastuti akan menggantikan Sakti Wahyu Trenggono. TurnBackHoax kemudian memanfaatkan Google Lens untuk menemukan asal-usul video Susi Pudjiastuti yang digunakan dalam konten unggahan kanal YouTube “Fenomena Fana”.Hasilnya, ditemukan video di akun TikTok “tumgrd” yang diunggah pada April 2023 saat Prabowo masih menjadi Menteri Pertahanan. Pemeriksaan Fakta Unggahan berisi narasi ”Prabowo pecat Menteri KKP Sakti Wahyu Trenggono” merupakan konten yang menyesatkan (misleading content). (Ditulis oleh Moch. Marcellodiansyah)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/02/10/salah-prabowo-pecat-menteri-kkp-sakti-wahyu-trenggono/,"February 10, 2025"
[SALAH] Ada Kongkalikong Adik Prabowo dan Yusril di Balik Ekspor Pasir Laut,"Beredarvideo[arsip]dari kanal YouTube “KOPI POLITIK” yang mengeklaim ada kongkalikong Hashim Djojohadikusumo (adik Prabowo) dan Mantan Menteri Sekretaris Negara Yusril Ihza Mahendra dalam ekspor pasir laut Berikut narasi lengkapnya: KONGKALIKONG BUSUK TERBONGKAR !! TERNYATA ADIK PRABOWO DAN YUSRIL DIBALIK EKSPOR PASIR LAUT BREAKING NEWS KONGKALIKONG TERBONGKAR ADIK PRABOWO & YUSRIL DIBALIK EKSPOR PASIR LAUT Klaim tersebut diperkuat dengan sampul foto (thumbnail) yang menampilkan latar lokasi penambangan pasir. Sejak diunggah Jumat (4/10/2024), video tersebut per Senin (21/10/2024) telah ditonton lebih dari dua ribu kali. Pemeriksaan Fakta Tim pemeriksa fakta Mafindo (TurnBackHoax) pertama-tama memasukkan kata kunci “Adik Prabowo dan Yusril dibalik ekspor pasir laut” ke mesin pencarian Google. Hasilnya, tidak ditemukan informasi yang membenarkan klaim. TurnBackHoax kemudian menelusuri sampul foto video itu lewat Google Lens dan tidak menemukan gambar yang identik. Potret dalam thumbnail video merupakan hasil suntingan atau manipulasi dari gabungan sejumlah gambar. Video berdurasi 6 menit 12 detik tersebut hanya menampilkan cuplikan dari beberapa peristiwa berbeda yang tidak berkaitan. Narator dalam video membacakan ulang artikelsuara.com“Heboh Adik Prabowo Jadi Penambang Pasir Laut, Reaksi Pandji Pragiwaksono: Sabar Nyet”. Artikel yang tayang Minggu (6/10/2024) itu membahas komika Pandji Pragiwaksono yang menyoroti dibukanya kembali keran ekspor pasir laut oleh Jokowi. Kesimpulan Video berisi narasi “Adik Prabowo dan Yusril dibalik ekspor pasir laut” merupakan konten yang dimanipulasi (manipulated content). (Ditulis oleh Pekik Jalu Utomo)",Tim Kalimasada,https://turnbackhoax.id/2024/10/22/salah-ada-kongkalikong-adik-prabowo-dan-yusril-di-balik-ekspor-pasir-laut/,"October 22, 2024"
"[PENIPUAN] Ulang Tahun ke-25, Oppo Bagi-Bagi 700 Ponsel","Akun Facebook “Oppo FANS id17” pada Selasa (3/12/2024) mengunggahfoto[arsip] disertai narasi: “Dalam rangka HUT Oppo yang ke 25, @Oppo akan membagikan 700 ponsel baru kepada siapapun yang menulis ucapan selamat di halaman kami.🎊” Hingga Senin (9/12/2024), unggahan menuai hampir 200 tanda suka dan lebih dari 350 komentar. Mayoritas warganet menuliskan ucapan selamat ulang tahun untuk mendapatkan hadiah. Pemeriksaan Fakta Disadur dari artikel Cek Faktaliputan6.com. Tim Cek Fakta Liputan6.com menelusuri klaim “Oppo bagikan 700 ponsel dalam rangka HUT ke-25” dengan menghubungi pihak Oppo Indonesia. “Hoaks itu,” kata Head of PR OPPO Indonesia Arga Bima Jaksana Putra, saat berbincang dengan Liputan6.com, Rabu (4/12/2024). Dalam halaman “Tentang Oppo” yang dimuat laman oppo.com, disebutkan Oppo didirikan pada 2004, atau baru berumur 20 tahun di 2024. Kesimpulan Unggahan berisi informasi “ulang tahun ke-25, Oppo bagi-bagi 700 ponsel” merupakan konten tiruan (impostor content). (Ditulis oleh Vania Astagina)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/12/12/penipuan-ulang-tahun-ke-25-oppo-bagi-bagi-700-ponsel/,"December 12, 2024"
[PENIPUAN] Tautan Lowongan Kerja PT Hwa Seung Indonesia (HWI),"Akun TikTok “id.loker” pada Minggu (13/04/2025) mengunggahvideo[arsip] berisi informasi lowongan kerja di PT Hwa Seung Indonesia (HWI) sebagai berikut: “DIBUTUHKAN TENAGA KERJA 200 ORANG TERCEPATLOWONGAN KERJA PT HWIdari jam 7 pagi-jam 4 soregaji 4,5 sampai 9,5 jutalembur 70.000 per jamlaki-laki/perempuantidak ada batas usiapengalaman dan ijazah tidak di utamakandisediakan mess dan WIFI gratis bagi yang ingin nginapJika berminat, silahkan klik link di Bio” Hingga Kamis (29/05/2025), unggahan telah disukai lebih dari 300-an akun, dibagikan ulang 51 kali, serta menuai 106 komentar. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) memasukkan kata kunci “loker PT HWI Jepara” ke mesin pencarian Google. Penelusuran teratas mengarah ke laman resmi perusahaan, yaknihrd-hwi.hsinni.com. TurnBackHoax kemudian menelusuri bagian “career” dan menemukan informasi mengenai lowongan kerja beberapa posisi di PT HWI. Terdapat kriteria tertentu untuk masing-masing posisi, seperti harus merupakan lulusan jurusan tertentu, memiliki pengalaman, dan lain-lain. Pendaftaran dilakukan dengan mengisi formulir dalam laman, bukan melalui tautan dari laman lain. Dari penelusuran TurnBackHoax, tautan yang tersemat di bio akun TikTok “id.loker” mengarahkan warganet untuk membuka laman domain vercel.app. Laman itu meminta warganet mengisi sejumlah data pribadi berupa: Kesimpulan Unggahan berisi tautan “lowongan kerja PT HWI” yang mengarah ke laman tak resmi itu merupakan konten palsu (fabricated content). (Ditulis oleh Vinanda Febriani)",Relawan Mafindo,https://turnbackhoax.id/2025/05/29/penipuan-tautan-lowongan-kerja-pt-hwa-seung-indonesia-hwi/,"May 29, 2025"
[SALAH] Video Banjir dan Longsor di Dieng,"Akun “AntoniusCDN” mengunggahvideo[arsip] pada Kamis (30/1/2025) dengan klaim terjadi banjir dan longsor di wilayah Dieng. Berikut cuitannya: “Innalillahi wa innailaihi roji’un Longsor dan Banjir di Dieng Wonosobo…” Per Kamis (27/2/2025) cuitan tersebut sudah dilihat lebih dari 6000 kali dan disukai 71 akun X lainnya. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri kebenaran klaim dengan mengunjungi akun Instagram resmi Dinas Pariwisata dan Kebudayaan Kabupaten Wonosobo. Akun Instagram “ppid.disparbudwonosobo” membantah klaim yang beredar ini. Video yang dibagikan merupakan video lama yang diunggah kembali. Video ini merupakan kejadian banjir dan longsor di Dieng yang terjadi pada Rabu (9/2/2022). Video yang sama juga dapat ditonton pada kanal YoutubeVIVA.co.idyang diunggah pada Kamis (10/2/2022). Kepala Dinas Pariwisata dan Kebudayaan Kabupaten Wonosobo, Agus Wibowo, menegaskan bahwa situasi di Dieng terkendali dan aman untuk dikunjungi. Kesimpulan Video dengan klaim banjir dan longsor yang terjadi di Dieng adalah video lama yang diunggah kembali, sehingga dapat disimpulkan video tersebut adalah konten menyesatkan (misleading content). (Ditulis oleh Agnes A)",Tim Kalimasada,https://turnbackhoax.id/2025/02/27/salah-video-banjir-dan-longsor-di-dieng/,"February 27, 2025"
[SALAH] Video Sandra Dewi Menangis Mendengar Putusan Suaminya,"Pada Kamis, 13/2/2025 beredarpost/cuitandi X/Twitter (arsip cadangan) yang membagikan video dengan narasi: “Sandra dewi menangis Mendengar putusan suaminya dalam perkara korupsi tata niaga komoditas timah diperberat menjadi 20 tahun penjara di tingkat banding.” Pemeriksaan Fakta Menggunakan perkakas (tools) pencarian video (video search) Google Videos, ditemukan beberapa sumber video asli yang sudah membagikan sebelumnya, salah satunya oleh akun Was Was di YouTube pada 10 Oktober 2024 lalu di unggahan berjudul “Ungkapan Sandra Dewi Setelah Menjadi Saksi Di Sidang Kasus Timah Yang Menimpa Suaminya”. Faktanya, di video aslinya Sandra Dewi terlihat tidak menangis seperti di video hasil suntingan yang dibagikan oleh akun @B3doel___ di X. Berdasarkan kemiripan ciri-cirinya dengan video-video yang sebelumnya cukup banyak beredar di berbagai media sosial, video tersebut adalah hasil suntingan menggunakan filter Crying Face. Kesimpulan Post/cuitan masuk ke kategori konten yang dimanipulasi (manipulated content), faktanya video yang dibagikan adalah hasil suntingan menggunakan filter Crying Face.",Aribowo Sasmito,https://turnbackhoax.id/2025/02/21/salah-video-sandra-dewi-menangis-mendengar-putusan-suaminya/,"February 21, 2025"
[SALAH] Mobil Diamuk Warga karena Pengendaranya Tidak Bayar Bensin,"Akun Facebook “Kagami” pada Jumat (28/2/2025) membagikanvideo[arsip] yang memperlihatkan sebuah mobil yang dihancurkan. Unggahan disertai narasi: “gara gara gak bayar bensin mobil jadi hancur” “demi ngak bayar bayar uang bensin sampe mobil hancur” Hingga Rabu (12/3/2025) video tersebut sudah disukai oleh hampir 700 pengguna dan mendapatkan 100-an komentar. Pemeriksaan Fakta Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri potongan gambar tersebut dengan bantuan Yandex Image.Hasil penelusuranmengarah ke pemberitaan di kanalYouTubeTribunnews “Viral Video Detik-detik Mobil Tabrak Lari Diamuk Massa, Diduga Serempet Sejumlah Pengendara di Solo”. Dari deskripsi video YouTube yang tayang Oktober 2024 itu, diketahui bahwa pengendara mobil tersebut ugal-ugalan di jalan hingga menabrak sejumlah kendaraan mobil dan sepeda motor. Warga pengguna jalan yang geram merusak mobil tersebut ketika mobil masuk ke sebuah SPBU di daerah Purwosari, Solo, Jawa Tengah. Kesimpulan Unggahan berisi klaim “mobil diamuk warga karena pengendaranya tidak bayar bensin” merupakan konten dengan konteks yang salah (false context). (Ditulis oleh Moch. Marcellodiansyah)",Pemeriksa Fakta Junior,https://turnbackhoax.id/2025/03/12/salah-mobil-diamuk-warga-karena-pengendaranya-tidak-bayar-bensin/,"March 12, 2025"
